Age Group,Sex,Year,Population
5 - 9,Females,2060,1498825
10 - 14,Females,2060,1562691
15 - 19,Females,2060,1621325
20 - 24,Females,2060,1770517
25 - 29,Females,2060,1872910
30 - 34,Females,2060,1992682
35 - 39,Females,2060,2072838
40 - 44,Females,2060,2218018
45 - 49,Females,2060,2300141
50 - 54,Females,2060,2263994
55 - 59,Females,2060,2166786
60 - 64,Females,2060,2154214
65 - 69,Females,2060,2103826
70 - 74,Females,2060,1962045
75 - 79,Females,2060,1683437
80 - 84,Females,2060,1344381
85 - 89,Females,2060,1079178
90 - 94,Females,2060,715858
95 - 99,Females,2060,268520
100 & over,Females,2060,39525
0 - 4,Males,2022,1568276
5 - 9,Males,2022,1707638
10 - 14,Males,2022,1789255
15 - 19,Males,2022,1703618
20 - 24,Males,2022,1740839
25 - 29,Males,2022,1836278
30 - 34,Males,2022,1933496
35 - 39,Males,2022,1865668
40 - 44,Males,2022,1798188
45 - 49,Males,2022,1713834
50 - 54,Males,2022,1901068
55 - 59,Males,2022,1892533
60 - 64,Males,2022,1661598
65 - 69,Males,2022,1372227
70 - 74,Males,2022,1264199
75 - 79,Males,2022,1064194
80 - 84,Males,2022,634345
85 - 89,Males,2022,367817
90 - 94,Males,2022,140311
95 - 99,Males,2022,28064
100 & over,Males,2022,2586
0 - 4,Males,2023,1555337
5 - 9,Males,2023,1699648
10 - 14,Males,2023,1798745
15 - 19,Males,2023,1761118
20 - 24,Males,2023,1807379
25 - 29,Males,2023,1898591
30 - 34,Males,2023,1978361
35 - 39,Males,2023,1922683
40 - 44,Males,2023,1847200
45 - 49,Males,2023,1694911
50 - 54,Males,2023,1878389
55 - 59,Males,2023,1900182
60 - 64,Males,2023,1705316
65 - 69,Males,2023,1402175
70 - 74,Males,2023,1233102
75 - 79,Males,2023,1112987
80 - 84,Males,2023,654181
85 - 89,Males,2023,378919
90 - 94,Males,2023,142851
95 - 99,Males,2023,28063
100 & over,Males,2023,2523
0 - 4,Males,2024,1540171
5 - 9,Males,2024,1694182
10 - 14,Males,2024,1798882
15 - 19,Males,2024,1795141
20 - 24,Males,2024,1860880
25 - 29,Males,2024,1945598
30 - 34,Males,2024,2018932
35 - 39,Males,2024,1973333
40 - 44,Males,2024,1869913
45 - 49,Males,2024,1712015
50 - 54,Males,2024,1840565
55 - 59,Males,2024,1900315
60 - 64,Males,2024,1748661
65 - 69,Males,2024,1436992
70 - 74,Males,2024,1221839
75 - 79,Males,2024,1133138
80 - 84,Males,2024,685975
85 - 89,Males,2024,390310
90 - 94,Males,2024,146649
95 - 99,Males,2024,28850
100 & over,Males,2024,2482
0 - 4,Males,2025,1529182
5 - 9,Males,2025,1682870
10 - 14,Males,2025,1793086
15 - 19,Males,2025,1824854
20 - 24,Males,2025,1910384
25 - 29,Males,2025,1981435
30 - 34,Males,2025,2045112
35 - 39,Males,2025,2014782
40 - 44,Males,2025,1890098
45 - 49,Males,2025,1747229
50 - 54,Males,2025,1807424
55 - 59,Males,2025,1887273
60 - 64,Males,2025,1787626
65 - 69,Males,2025,1480401
70 - 74,Males,2025,1218488
75 - 79,Males,2025,1145499
80 - 84,Males,2025,716350
85 - 89,Males,2025,396758
90 - 94,Males,2025,152063
95 - 99,Males,2025,30239
100 & over,Males,2025,2481
0 - 4,Males,2026,1525269
5 - 9,Males,2026,1656760
10 - 14,Males,2026,1784622
15 - 19,Males,2026,1856888
20 - 24,Males,2026,1949655
25 - 29,Males,2026,2004363
30 - 34,Males,2026,2061022
35 - 39,Males,2026,2056642
40 - 44,Males,2026,1914158
45 - 49,Males,2026,1786175
50 - 54,Males,2026,1758678
55 - 59,Males,2026,1884647
60 - 64,Males,2026,1811829
65 - 69,Males,2026,1525444
70 - 74,Males,2026,1229932
75 - 79,Males,2026,1148554
80 - 84,Males,2026,755202
85 - 89,Males,2026,395697
90 - 94,Males,2026,157909
95 - 99,Males,2026,31812
100 & over,Males,2026,2507
0 - 4,Males,2027,1516061
5 - 9,Males,2027,1640686
10 - 14,Males,2027,1766088
15 - 19,Males,2027,1879158
20 - 24,Males,2027,1978645
25 - 29,Males,2027,2013310
30 - 34,Males,2027,2081655
35 - 39,Males,2027,2091387
40 - 44,Males,2027,1942452
45 - 49,Males,2027,1828551
50 - 54,Males,2027,1715111
55 - 59,Males,2027,1867143
60 - 64,Males,2027,1827837
65 - 69,Males,2027,1571169
70 - 74,Males,2027,1253704
75 - 79,Males,2027,1093416
80 - 84,Males,2027,835507
85 - 89,Males,2027,403290
90 - 94,Males,2027,164813
95 - 99,Males,2027,33379
100 & over,Males,2027,2569
0 - 4,Males,2028,1519732
5 - 9,Males,2028,1614067
10 - 14,Males,2028,1747391
15 - 19,Males,2028,1877300
20 - 24,Males,2028,2001101
25 - 29,Males,2028,2024043
30 - 34,Males,2028,2099536
35 - 39,Males,2028,2104712
40 - 44,Males,2028,1979584
45 - 49,Males,2028,1865533
50 - 54,Males,2028,1690134
55 - 59,Males,2028,1840689
60 - 64,Males,2028,1832271
65 - 69,Males,2028,1611591
70 - 74,Males,2028,1282546
75 - 79,Males,2028,1068062
80 - 84,Males,2028,878319
85 - 89,Males,2028,420653
90 - 94,Males,2028,172232
95 - 99,Males,2028,34825
100 & over,Males,2028,2650
0 - 4,Males,2029,1524237
5 - 9,Males,2029,1589348
10 - 14,Males,2029,1734604
15 - 19,Males,2029,1870415
20 - 24,Males,2029,2010938
25 - 29,Males,2029,2039041
30 - 34,Males,2029,2115927
35 - 39,Males,2029,2123367
40 - 44,Males,2029,2016489
45 - 49,Males,2029,1880229
50 - 54,Males,2029,1702780
55 - 59,Males,2029,1800991
60 - 64,Males,2029,1830392
65 - 69,Males,2029,1651759
70 - 74,Males,2029,1315561
75 - 79,Males,2029,1059293
80 - 84,Males,2029,896130
85 - 89,Males,2029,445567
90 - 94,Males,2029,178632
95 - 99,Males,2029,36343
100 & over,Males,2029,2777
0 - 4,Males,2030,1527354
5 - 9,Males,2030,1571089
10 - 14,Males,2030,1717647
15 - 19,Males,2030,1859782
20 - 24,Males,2030,2024336
25 - 29,Males,2030,2059522
30 - 34,Males,2030,2128199
35 - 39,Males,2030,2132505
40 - 44,Males,2030,2047146
45 - 49,Males,2030,1894242
50 - 54,Males,2030,1734216
55 - 59,Males,2030,1766719
60 - 64,Males,2030,1816430
65 - 69,Males,2030,1687919
70 - 74,Males,2030,1356274
75 - 79,Males,2030,1057566
80 - 84,Males,2030,905843
85 - 89,Males,2030,468764
90 - 94,Males,2030,182422
95 - 99,Males,2030,38409
100 & over,Males,2030,2979
0 - 4,Males,2031,1529575
5 - 9,Males,2031,1562286
10 - 14,Males,2031,1687695
15 - 19,Males,2031,1848206
20 - 24,Males,2031,2046646
25 - 29,Males,2031,2079658
30 - 34,Males,2031,2135015
35 - 39,Males,2031,2136675
40 - 44,Males,2031,2081413
45 - 49,Males,2031,1913981
50 - 54,Males,2031,1770322
55 - 59,Males,2031,1718245
60 - 64,Males,2031,1813184
65 - 69,Males,2031,1710386
70 - 74,Males,2031,1398588
75 - 79,Males,2031,1069168
80 - 84,Males,2031,907166
85 - 89,Males,2031,496384
90 - 94,Males,2031,182216
95 - 99,Males,2031,40520
100 & over,Males,2031,3195
0 - 4,Males,2032,1531395
5 - 9,Males,2032,1550678
10 - 14,Males,2032,1669671
15 - 19,Males,2032,1828202
20 - 24,Males,2032,2064632
25 - 29,Males,2032,2099296
30 - 34,Males,2032,2135724
35 - 39,Males,2032,2151223
40 - 44,Males,2032,2112156
45 - 49,Males,2032,1939966
50 - 54,Males,2032,1810935
55 - 59,Males,2032,1675756
60 - 64,Males,2032,1796223
65 - 69,Males,2032,1725520
70 - 74,Males,2032,1441574
75 - 79,Males,2032,1091725
80 - 84,Males,2032,865421
85 - 89,Males,2032,554784
90 - 94,Males,2032,187222
95 - 99,Males,2032,42838
100 & over,Males,2032,3404
0 - 4,Males,2033,1533271
5 - 9,Males,2033,1554383
10 - 14,Males,2033,1643125
15 - 19,Males,2033,1809609
20 - 24,Males,2033,2062880
25 - 29,Males,2033,2121792
30 - 34,Males,2033,2146472
35 - 39,Males,2033,2169116
40 - 44,Males,2033,2125594
45 - 49,Males,2033,1976985
50 - 54,Males,2033,1847569
55 - 59,Males,2033,1652350
60 - 64,Males,2033,1771334
65 - 69,Males,2033,1730146
70 - 74,Males,2033,1479829
75 - 79,Males,2033,1119160
80 - 84,Males,2033,847081
85 - 89,Males,2033,585770
90 - 94,Males,2033,197863
95 - 99,Males,2033,45156
100 & over,Males,2033,3594
0 - 4,Males,2034,1535516
5 - 9,Males,2034,1558901
10 - 14,Males,2034,1618483
15 - 19,Males,2034,1796905
20 - 24,Males,2034,2056126
25 - 29,Males,2034,2131780
30 - 34,Males,2034,2161462
35 - 39,Males,2034,2185509
40 - 44,Males,2034,2144345
45 - 49,Males,2034,2013744
50 - 54,Males,2034,1862322
55 - 59,Males,2034,1665641
60 - 64,Males,2034,1733802
65 - 69,Males,2034,1728942
70 - 74,Males,2034,1517729
75 - 79,Males,2034,1150143
80 - 84,Males,2034,841860
85 - 89,Males,2034,598530
90 - 94,Males,2034,212470
95 - 99,Males,2034,47045
100 & over,Males,2034,3804
0 - 4,Males,2035,1538262
5 - 9,Males,2035,1562028
10 - 14,Males,2035,1600287
15 - 19,Males,2035,1780027
20 - 24,Males,2035,2045676
25 - 29,Males,2035,2145332
30 - 34,Males,2035,2181914
35 - 39,Males,2035,2197756
40 - 44,Males,2035,2153636
45 - 49,Males,2035,2044342
50 - 54,Males,2035,1876528
55 - 59,Males,2035,1697150
60 - 64,Males,2035,1701597
65 - 69,Males,2035,1716396
70 - 74,Males,2035,1551819
75 - 79,Males,2035,1187518
80 - 84,Males,2035,842262
85 - 89,Males,2035,604229
90 - 94,Males,2035,225449
95 - 99,Males,2035,48161
100 & over,Males,2035,4095
0 - 4,Males,2036,1541612
5 - 9,Males,2036,1564257
10 - 14,Males,2036,1591524
15 - 19,Males,2036,1750175
20 - 24,Males,2036,2034290
25 - 29,Males,2036,2167771
30 - 34,Males,2036,2202004
35 - 39,Males,2036,2204559
40 - 44,Males,2036,2157997
45 - 49,Males,2036,2078525
50 - 54,Males,2036,1896377
55 - 59,Males,2036,1733005
60 - 64,Males,2036,1655916
65 - 69,Males,2036,1714166
70 - 74,Males,2036,1573290
75 - 79,Males,2036,1226339
80 - 84,Males,2036,853716
85 - 89,Males,2036,603800
90 - 94,Males,2036,239738
95 - 99,Males,2036,48065
100 & over,Males,2036,4381
0 - 4,Males,2037,1545689
5 - 9,Males,2037,1566087
10 - 14,Males,2037,1579956
15 - 19,Males,2037,1732256
20 - 24,Males,2037,2014429
25 - 29,Males,2037,2185882
30 - 34,Males,2037,2221610
35 - 39,Males,2037,2205317
40 - 44,Males,2037,2172642
45 - 49,Males,2037,2109209
50 - 54,Males,2037,1922351
55 - 59,Males,2037,1773067
60 - 64,Males,2037,1616057
65 - 69,Males,2037,1698956
70 - 74,Males,2037,1588103
75 - 79,Males,2037,1265703
80 - 84,Males,2037,874019
85 - 89,Males,2037,578483
90 - 94,Males,2037,271997
95 - 99,Males,2037,50026
100 & over,Males,2037,4688
0 - 4,Males,2038,1550483
5 - 9,Males,2038,1567972
10 - 14,Males,2038,1583680
15 - 19,Males,2038,1705794
20 - 24,Males,2038,1996003
25 - 29,Males,2038,2184218
30 - 34,Males,2038,2244105
35 - 39,Males,2038,2216065
40 - 44,Males,2038,2190563
45 - 49,Males,2038,2122769
50 - 54,Males,2038,1959186
55 - 59,Males,2038,1809159
60 - 64,Males,2038,1594612
65 - 69,Males,2038,1676241
70 - 74,Males,2038,1593255
75 - 79,Males,2038,1300929
80 - 84,Males,2038,898673
85 - 89,Males,2038,568740
90 - 94,Males,2038,288474
95 - 99,Males,2038,53966
100 & over,Males,2038,4983
0 - 4,Males,2039,1555802
5 - 9,Males,2039,1570226
10 - 14,Males,2039,1588199
15 - 19,Males,2039,1681247
20 - 24,Males,2039,1983479
25 - 29,Males,2039,2177482
30 - 34,Males,2039,2254149
35 - 39,Males,2039,2231037
40 - 44,Males,2039,2206980
45 - 49,Males,2039,2141612
50 - 54,Males,2039,1995714
55 - 59,Males,2039,1823949
60 - 64,Males,2039,1608545
65 - 69,Males,2039,1641625
70 - 74,Males,2039,1593190
75 - 79,Males,2039,1335756
80 - 84,Males,2039,926060
85 - 89,Males,2039,567646
90 - 94,Males,2039,294829
95 - 99,Males,2039,59066
100 & over,Males,2039,5214
0 - 4,Males,2040,1561474
5 - 9,Males,2040,1572980
10 - 14,Males,2040,1591327
15 - 19,Males,2040,1663135
20 - 24,Males,2040,1966822
25 - 29,Males,2040,2167017
30 - 34,Males,2040,2267718
35 - 39,Males,2040,2251474
40 - 44,Males,2040,2219235
45 - 49,Males,2040,2151071
50 - 54,Males,2040,2026201
55 - 59,Males,2040,1838382
60 - 64,Males,2040,1639934
65 - 69,Males,2040,1612108
70 - 74,Males,2040,1582712
75 - 79,Males,2040,1367131
80 - 84,Males,2040,958201
85 - 89,Males,2040,570153
90 - 94,Males,2040,296836
95 - 99,Males,2040,63233
100 & over,Males,2040,5358
0 - 4,Males,2041,1567333
5 - 9,Males,2041,1576331
10 - 14,Males,2041,1593563
15 - 19,Males,2041,1654422
20 - 24,Males,2041,1937200
25 - 29,Males,2041,2155632
30 - 34,Males,2041,2290140
35 - 39,Males,2041,2271548
40 - 44,Males,2041,2226073
45 - 49,Males,2041,2155650
50 - 54,Males,2041,2060225
55 - 59,Males,2041,1858312
60 - 64,Males,2041,1675275
65 - 69,Males,2041,1570024
70 - 74,Males,2041,1581937
75 - 79,Males,2041,1387388
80 - 84,Males,2041,991714
85 - 89,Males,2041,580529
90 - 94,Males,2041,295922
95 - 99,Males,2041,67476
100 & over,Males,2041,5354
0 - 4,Males,2042,1573145
5 - 9,Males,2042,1580410
10 - 14,Males,2042,1595400
15 - 19,Males,2042,1642884
20 - 24,Males,2042,1919421
25 - 29,Males,2042,2135811
30 - 34,Males,2042,2308240
35 - 39,Males,2042,2291132
40 - 44,Males,2042,2226940
45 - 49,Males,2042,2170419
50 - 54,Males,2042,2090777
55 - 59,Males,2042,1884179
60 - 64,Males,2042,1714457
65 - 69,Males,2042,1533442
70 - 74,Males,2042,1569135
75 - 79,Males,2042,1401926
80 - 84,Males,2042,1025725
85 - 89,Males,2042,596935
90 - 94,Males,2042,286013
95 - 99,Males,2042,78383
100 & over,Males,2042,5690
0 - 4,Males,2043,1578463
5 - 9,Males,2043,1585207
10 - 14,Males,2043,1597284
15 - 19,Males,2043,1646645
20 - 24,Males,2043,1893098
25 - 29,Males,2043,2117372
30 - 34,Males,2043,2306625
35 - 39,Males,2043,2313605
40 - 44,Males,2043,2237730
45 - 49,Males,2043,2188385
50 - 54,Males,2043,2104451
55 - 59,Males,2043,1920666
60 - 64,Males,2043,1749728
65 - 69,Males,2043,1514324
70 - 74,Males,2043,1549310
75 - 79,Males,2043,1407951
80 - 84,Males,2043,1056506
85 - 89,Males,2043,616806
90 - 94,Males,2043,283816
95 - 99,Males,2043,83355
100 & over,Males,2043,6298
0 - 4,Males,2044,1582855
5 - 9,Males,2044,1590522
10 - 14,Males,2044,1599536
15 - 19,Males,2044,1651169
20 - 24,Males,2044,1868699
25 - 29,Males,2044,2104792
30 - 34,Males,2044,2299953
35 - 39,Males,2044,2323673
40 - 44,Males,2044,2252726
45 - 49,Males,2044,2204851
50 - 54,Males,2044,2123356
55 - 59,Males,2044,1956783
60 - 64,Males,2044,1764527
65 - 69,Males,2044,1528811
70 - 74,Males,2044,1518482
75 - 79,Males,2044,1409550
80 - 84,Males,2044,1086925
85 - 89,Males,2044,638416
90 - 94,Males,2044,285714
95 - 99,Males,2044,84911
100 & over,Males,2044,7027
0 - 4,Males,2045,1586153
5 - 9,Males,2045,1596187
10 - 14,Males,2045,1602294
15 - 19,Males,2045,1654300
20 - 24,Males,2045,1850669
25 - 29,Males,2045,2088046
30 - 34,Males,2045,2289578
35 - 39,Males,2045,2337234
40 - 44,Males,2045,2273178
45 - 49,Males,2045,2217148
50 - 54,Males,2045,2132986
55 - 59,Males,2045,1987035
60 - 64,Males,2045,1779193
65 - 69,Males,2045,1559787
70 - 74,Males,2045,1492359
75 - 79,Males,2045,1401928
80 - 84,Males,2045,1114454
85 - 89,Males,2045,662918
90 - 94,Males,2045,289118
95 - 99,Males,2045,85070
100 & over,Males,2045,7566
0 - 4,Males,2046,1588255
5 - 9,Males,2046,1602040
10 - 14,Males,2046,1605646
15 - 19,Males,2046,1656539
20 - 24,Males,2046,1841973
25 - 29,Males,2046,2058323
30 - 34,Males,2046,2278313
35 - 39,Males,2046,2359607
40 - 44,Males,2046,2293257
45 - 49,Males,2046,2224065
50 - 54,Males,2046,2137832
55 - 59,Males,2046,2020753
60 - 64,Males,2046,1799137
65 - 69,Males,2046,1594268
70 - 74,Males,2046,1454813
75 - 79,Males,2046,1403111
80 - 84,Males,2046,1132950
85 - 89,Males,2046,688725
90 - 94,Males,2046,296783
95 - 99,Males,2046,84700
100 & over,Males,2046,8097
0 - 4,Males,2047,1589112
5 - 9,Males,2047,1607851
10 - 14,Males,2047,1609723
15 - 19,Males,2047,1658382
20 - 24,Males,2047,1830444
25 - 29,Males,2047,2040423
30 - 34,Males,2047,2258633
35 - 39,Males,2047,2377678
40 - 44,Males,2047,2312833
45 - 49,Males,2047,2225096
50 - 54,Males,2047,2152741
55 - 59,Males,2047,2051035
60 - 64,Males,2047,1824759
65 - 69,Males,2047,1632194
70 - 74,Males,2047,1422285
75 - 79,Males,2047,1393512
80 - 84,Males,2047,1146985
85 - 89,Males,2047,715044
90 - 94,Males,2047,307512
95 - 99,Males,2047,83113
100 & over,Males,2047,9702
0 - 4,Males,2048,1588469
5 - 9,Males,2048,1613169
10 - 14,Males,2048,1614514
15 - 19,Males,2048,1660273
20 - 24,Males,2048,1834130
25 - 29,Males,2048,2014024
30 - 34,Males,2048,2240318
35 - 39,Males,2048,2376147
40 - 44,Males,2048,2335305
45 - 49,Males,2048,2235978
50 - 54,Males,2048,2170756
55 - 59,Males,2048,2064809
60 - 64,Males,2048,1860668
65 - 69,Males,2048,1666337
70 - 74,Males,2048,1405972
75 - 79,Males,2048,1377460
80 - 84,Males,2048,1154046
85 - 89,Males,2048,739306
90 - 94,Males,2048,320421
95 - 99,Males,2048,83809
100 & over,Males,2048,10315
0 - 4,Males,2049,1586074
5 - 9,Males,2049,1617562
10 - 14,Males,2049,1619826
15 - 19,Males,2049,1662526
20 - 24,Males,2049,1838617
25 - 29,Males,2049,1989499
30 - 34,Males,2049,2227834
35 - 39,Males,2049,2369604
40 - 44,Males,2049,2345424
45 - 49,Males,2049,2251042
50 - 54,Males,2049,2187288
55 - 59,Males,2049,2083734
60 - 64,Males,2049,1896141
65 - 69,Males,2049,1681147
70 - 74,Males,2049,1420939
75 - 79,Males,2049,1351565
80 - 84,Males,2049,1157708
85 - 89,Males,2049,763294
90 - 94,Males,2049,334098
95 - 99,Males,2049,85558
100 & over,Males,2049,10467
0 - 4,Males,2050,1581980
5 - 9,Males,2050,1620867
10 - 14,Males,2050,1625489
15 - 19,Males,2050,1665282
20 - 24,Males,2050,1841716
25 - 29,Males,2050,1971371
30 - 34,Males,2050,2211193
35 - 39,Males,2050,2359387
40 - 44,Males,2050,2359007
45 - 49,Males,2050,2271526
50 - 54,Males,2050,2199658
55 - 59,Males,2050,2093566
60 - 64,Males,2050,1926010
65 - 69,Males,2050,1696068
70 - 74,Males,2050,1451217
75 - 79,Males,2050,1329801
80 - 84,Males,2050,1153715
85 - 89,Males,2050,785162
90 - 94,Males,2050,348999
95 - 99,Males,2050,87545
100 & over,Males,2050,10481
0 - 4,Males,2051,1576280
5 - 9,Males,2051,1622979
10 - 14,Males,2051,1631346
15 - 19,Males,2051,1668637
20 - 24,Males,2051,1843923
25 - 29,Males,2051,1962607
30 - 34,Males,2051,2181620
35 - 39,Males,2051,2348302
40 - 44,Males,2051,2381343
45 - 49,Males,2051,2291614
50 - 54,Males,2051,2206696
55 - 59,Males,2051,2098761
60 - 64,Males,2051,1959259
65 - 69,Males,2051,1715985
70 - 74,Males,2051,1484498
75 - 79,Males,2051,1298181
80 - 84,Males,2051,1157243
85 - 89,Males,2051,800665
90 - 94,Males,2051,364951
95 - 99,Males,2051,90977
100 & over,Males,2051,10509
0 - 4,Males,2052,1569089
5 - 9,Males,2052,1623847
10 - 14,Males,2052,1637157
15 - 19,Males,2052,1672712
20 - 24,Males,2052,1845741
25 - 29,Males,2052,1951063
30 - 34,Males,2052,2163859
35 - 39,Males,2052,2328843
40 - 44,Males,2052,2399401
45 - 49,Males,2052,2311198
50 - 54,Males,2052,2207984
55 - 59,Males,2052,2113860
60 - 64,Males,2052,1989139
65 - 69,Males,2052,1741248
70 - 74,Males,2052,1520714
75 - 79,Males,2052,1270931
80 - 84,Males,2052,1151659
85 - 89,Males,2052,813271
90 - 94,Males,2052,381339
95 - 99,Males,2052,95340
100 & over,Males,2052,10578
0 - 4,Males,2053,1560904
5 - 9,Males,2053,1623225
10 - 14,Males,2053,1642472
15 - 19,Males,2053,1677501
20 - 24,Males,2053,1847611
25 - 29,Males,2053,1954754
30 - 34,Males,2053,2137594
35 - 39,Males,2053,2310742
40 - 44,Males,2053,2397990
45 - 49,Males,2053,2333672
50 - 54,Males,2053,2219009
55 - 59,Males,2053,2131942
60 - 64,Males,2053,2003042
65 - 69,Males,2053,1776352
70 - 74,Males,2053,1553349
75 - 79,Males,2053,1258212
80 - 84,Males,2053,1140392
85 - 89,Males,2053,820873
90 - 94,Males,2053,396791
95 - 99,Males,2053,100563
100 & over,Males,2053,10894
0 - 4,Males,2054,1552298
5 - 9,Males,2054,1620851
10 - 14,Males,2054,1646870
15 - 19,Males,2054,1682815
20 - 24,Males,2054,1849844
25 - 29,Males,2054,1959268
30 - 34,Males,2054,2113210
35 - 39,Males,2054,2298441
40 - 44,Males,2054,2391620
45 - 49,Males,2054,2343873
50 - 54,Males,2054,2234181
55 - 59,Males,2054,2148585
60 - 64,Males,2054,2021991
65 - 69,Males,2054,1810960
70 - 74,Males,2054,1568190
75 - 79,Males,2054,1273662
80 - 84,Males,2054,1120873
85 - 89,Males,2054,826351
90 - 94,Males,2054,412081
95 - 99,Males,2054,105921
100 & over,Males,2054,11294
0 - 4,Males,2055,1543590
5 - 9,Males,2055,1616789
10 - 14,Males,2055,1650177
15 - 19,Males,2055,1688481
20 - 24,Males,2055,1852580
25 - 29,Males,2055,1962394
30 - 34,Males,2055,2095214
35 - 39,Males,2055,2282006
40 - 44,Males,2055,2381597
45 - 49,Males,2055,2357507
50 - 54,Males,2055,2254707
55 - 59,Males,2055,2161065
60 - 64,Males,2055,2032122
65 - 69,Males,2055,1840333
70 - 74,Males,2055,1583438
75 - 79,Males,2055,1302887
80 - 84,Males,2055,1104709
85 - 89,Males,2055,826224
90 - 94,Males,2055,426153
95 - 99,Males,2055,111538
100 & over,Males,2055,11686
0 - 4,Males,2056,1535128
5 - 9,Males,2056,1611124
10 - 14,Males,2056,1652291
15 - 19,Males,2056,1694339
20 - 24,Males,2056,1855917
25 - 29,Males,2056,1964632
30 - 34,Males,2056,2086557
35 - 39,Males,2056,2252718
40 - 44,Males,2056,2370729
45 - 49,Males,2056,2379814
50 - 54,Males,2056,2274801
55 - 59,Males,2056,2168294
60 - 64,Males,2056,2037818
65 - 69,Males,2056,1872947
70 - 74,Males,2056,1603304
75 - 79,Males,2056,1334449
80 - 84,Males,2056,1080874
85 - 89,Males,2056,831895
90 - 94,Males,2056,436765
95 - 99,Males,2056,117705
100 & over,Males,2056,12312
0 - 4,Males,2057,1527201
5 - 9,Males,2057,1603975
10 - 14,Males,2057,1653167
15 - 19,Males,2057,1700155
20 - 24,Males,2057,1859984
25 - 29,Males,2057,1966478
30 - 34,Males,2057,2075130
35 - 39,Males,2057,2235193
40 - 44,Males,2057,2351536
45 - 49,Males,2057,2397873
50 - 54,Males,2057,2294393
55 - 59,Males,2057,2169964
60 - 64,Males,2057,2053171
65 - 69,Males,2057,1902295
70 - 74,Males,2057,1628089
75 - 79,Males,2057,1368223
80 - 84,Males,2057,1060542
85 - 89,Males,2057,830705
90 - 94,Males,2057,446064
95 - 99,Males,2057,124103
100 & over,Males,2057,13066
0 - 4,Males,2058,1520048
5 - 9,Males,2058,1595828
10 - 14,Males,2058,1652556
15 - 19,Males,2058,1705472
20 - 24,Males,2058,1864777
25 - 29,Males,2058,1968378
30 - 34,Males,2058,2078891
35 - 39,Males,2058,2209165
40 - 44,Males,2058,2333705
45 - 49,Males,2058,2396630
50 - 54,Males,2058,2316876
55 - 59,Males,2058,2181202
60 - 64,Males,2058,2071340
65 - 69,Males,2058,1916397
70 - 74,Males,2058,1662129
75 - 79,Males,2058,1398682
80 - 84,Males,2058,1052448
85 - 89,Males,2058,824957
90 - 94,Males,2058,452582
95 - 99,Males,2058,130254
100 & over,Males,2058,13976
0 - 4,Males,2059,1513901
5 - 9,Males,2059,1587262
10 - 14,Males,2059,1650206
15 - 19,Males,2059,1709875
20 - 24,Males,2059,1870093
25 - 29,Males,2059,1970643
30 - 34,Males,2059,2083455
35 - 39,Males,2059,2185030
40 - 44,Males,2059,2321633
45 - 49,Males,2059,2390475
50 - 54,Males,2059,2327219
55 - 59,Males,2059,2196545
60 - 64,Males,2059,2088142
65 - 69,Males,2059,1935371
70 - 74,Males,2059,1695597
75 - 79,Males,2059,1413460
80 - 84,Males,2059,1068255
85 - 89,Males,2059,813124
90 - 94,Males,2059,458237
95 - 99,Males,2059,136352
100 & over,Males,2059,14883
0 - 4,Males,2060,1508854
5 - 9,Males,2060,1578590
10 - 14,Males,2060,1646167
15 - 19,Males,2060,1713189
20 - 24,Males,2060,1875772
25 - 29,Males,2060,1973413
30 - 34,Males,2060,2086630
35 - 39,Males,2060,2167249
40 - 44,Males,2060,2305448
45 - 49,Males,2060,2380707
50 - 54,Males,2060,2340936
55 - 59,Males,2060,2217132
60 - 64,Males,2060,2100806
65 - 69,Males,2060,1945918
70 - 74,Males,2060,1724309
75 - 79,Males,2060,1429064
80 - 84,Males,2060,1095727
85 - 89,Males,2060,803720
90 - 94,Males,2060,460642
95 - 99,Males,2060,142014
100 & over,Males,2060,15815
0 - 4,Persons,2022,3065375
5 - 9,Persons,2022,3336989
10 - 14,Persons,2022,3494289
15 - 19,Persons,2022,3310096
20 - 24,Persons,2022,3436554
25 - 29,Persons,2022,3721270
30 - 34,Persons,2022,3992035
35 - 39,Persons,2022,3859987
40 - 44,Persons,2022,3685830
45 - 49,Persons,2022,3479074
50 - 54,Persons,2022,3866574
55 - 59,Persons,2022,3853699
60 - 64,Persons,2022,3381015
65 - 69,Persons,2022,2825765
70 - 74,Persons,2022,2657722
75 - 79,Persons,2022,2283760
80 - 84,Persons,2022,1437660
85 - 89,Persons,2022,904522
90 - 94,Persons,2022,402579
95 - 99,Persons,2022,103462
