Age Group,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,Sex
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,Male
  0-4,1716.253,1691,1667.562,1639.172,1616.586,1601.888,1598.494,1593.288,1589.749,1588.201,1587.814,1587.881,1588.833,1591.026,1594.852,1600.626,1608.26,1617.642,1628.854,1641.828,1656.324,1672.025,1688.233,1704.085,1718.786,1731.619,1741.834,1749.354,1754.141,1756.192,1755.619,1752.901,1748.329,1742.315,1735.336,1727.886,1720.44,1713.447,1707.271,1702.186,1698.4,1696.048,1695.184,1695.797,1697.813,1701.14,1705.658,1711.227,1717.659,1724.784,1732.423,1740.398,1748.516,1756.568,1764.357,1771.697,1778.417,1784.358,1789.401,1793.466,1796.511,1798.536,1799.587,1799.755,1799.149,1797.931,1796.262,1794.316,1792.283,1790.336,1788.642,1787.34,1786.555,1786.363,1786.833,1787.993,1789.84,1792.351,1795.47,1799.13,1803.243,1807.708,1812.419,1817.271,1822.15,1826.956,1831.587,1835.957,1839.999,1843.655,1846.877,1849.639,1851.933,1853.784,1855.211,1856.257,1856.971,1857.424,1857.684,1857.825,1857.935,Male
  5-9,1803.934,1813.827,1816.234,1812.523,1791.472,1769.504,1742.118,1716.525,1686.725,1663.039,1647.574,1643.803,1638.631,1635.117,1633.584,1633.221,1633.304,1634.276,1636.486,1640.322,1646.107,1653.752,1663.14,1674.357,1687.331,1701.833,1717.536,1733.737,1749.584,1764.279,1777.109,1787.32,1794.843,1799.634,1801.692,1801.135,1798.434,1793.874,1787.878,1780.918,1773.489,1766.066,1759.092,1752.927,1747.859,1744.086,1741.75,1740.894,1741.518,1743.539,1746.871,1751.395,1756.977,1763.42,1770.553,1778.197,1786.174,1794.291,1802.343,1810.136,1817.478,1824.2,1830.143,1835.189,1839.256,1842.308,1844.339,1845.397,1845.576,1844.98,1843.769,1842.109,1840.172,1838.148,1836.216,1834.529,1833.239,1832.462,1832.279,1832.76,1833.926,1835.778,1838.295,1841.416,1845.076,1849.192,1853.667,1858.386,1863.241,1868.127,1872.933,1877.568,1881.941,1885.984,1889.643,1892.868,1895.641,1897.939,1899.795,1901.229,1902.277,Male
 10-14,1677.771,1720.739,1763.32,1797.691,1831.728,1844.843,1853.059,1853.741,1848.987,1827.173,1804.697,1777.079,1751.531,1721.776,1698.127,1682.681,1678.927,1673.763,1670.261,1668.741,1668.389,1668.482,1669.466,1671.679,1675.525,1681.315,1688.966,1698.361,1709.578,1722.553,1737.053,1752.751,1768.956,1784.801,1799.493,1812.317,1822.525,1830.053,1834.844,1836.906,1836.35,1833.657,1829.11,1823.127,1816.174,1808.761,1801.355,1794.388,1788.236,1783.177,1779.409,1777.08,1776.235,1776.866,1778.895,1782.231,1786.763,1792.351,1798.797,1805.929,1813.574,1821.553,1829.673,1837.731,1845.526,1852.865,1859.581,1865.521,1870.569,1874.64,1877.696,1879.732,1880.797,1880.978,1880.391,1879.184,1877.536,1875.602,1873.583,1871.654,1869.973,1868.683,1867.912,1867.742,1868.232,1869.407,1871.263,1873.785,1876.908,1880.569,1884.69,1889.162,1893.881,1898.736,1903.623,1908.435,1913.075,1917.455,1921.501,1925.161,1928.385,Male
 15-19,1589.871,1586.96,1598.382,1632.527,1681.017,1734.211,1775.111,1815.589,1848.64,1881.75,1894.287,1902.252,1902.957,1898.223,1876.468,1854.049,1826.486,1800.984,1771.287,1747.685,1732.279,1728.554,1723.396,1719.908,1718.4,1718.056,1718.158,1719.153,1721.377,1725.231,1731.031,1738.689,1748.088,1759.31,1772.287,1786.79,1802.493,1818.694,1834.541,1849.234,1862.056,1872.266,1879.799,1884.596,1886.67,1886.126,1883.445,1878.91,1872.943,1866.007,1858.612,1851.215,1844.262,1838.121,1833.074,1829.323,1827.008,1826.171,1826.813,1828.847,1832.191,1836.73,1842.328,1848.778,1855.916,1863.567,1871.549,1879.673,1887.735,1895.529,1902.867,1909.588,1915.533,1920.585,1924.659,1927.719,1929.759,1930.837,1931.029,1930.452,1929.258,1927.613,1925.681,1923.669,1921.746,1920.073,1918.794,1918.033,1917.869,1918.362,1919.541,1921.409,1923.937,1927.063,1930.724,1934.848,1939.323,1944.045,1948.907,1953.796,1958.61,Male
 20-24,1805.668,1794.185,1781.677,1755.833,1724.069,1705.836,1698.012,1704.488,1735.084,1781.076,1832.761,1873.016,1913.53,1946.614,1979.723,1992.301,2000.311,2001.089,1996.473,1974.835,1952.529,1925.091,1899.728,1870.118,1846.562,1831.173,1827.438,1822.287,1818.809,1817.303,1816.963,1817.073,1818.077,1820.316,1824.186,1829.998,1837.667,1847.087,1858.327,1871.32,1885.835,1901.553,1917.769,1933.633,1948.342,1961.186,1971.428,1978.982,1983.807,1985.913,1985.402,1982.744,1978.244,1972.303,1965.395,1958.026,1950.655,1943.724,1937.598,1932.57,1928.835,1926.53,1925.698,1926.344,1928.392,1931.747,1936.294,1941.901,1948.362,1955.512,1963.178,1971.175,1979.316,1987.395,1995.208,2002.568,2009.309,2015.274,2020.344,2024.432,2027.511,2029.574,2030.67,2030.874,2030.312,2029.126,2027.497,2025.584,2023.585,2021.675,2020.015,2018.738,2017.99,2017.84,2018.347,2019.537,2021.408,2023.94,2027.072,2030.739,2034.876,Male
 25-29,1935.98,1940.818,1928.025,1910.227,1900.797,1888.732,1871.775,1853.578,1823.509,1788.44,1767.891,1758.918,1765.414,1796.049,1842.105,1893.867,1934.221,1974.808,2007.952,2041.114,2053.749,2061.783,2062.573,2057.954,2036.338,2014.042,1986.602,1961.212,1931.595,1908.05,1892.684,1888.974,1883.855,1880.399,1878.92,1878.608,1878.744,1879.766,1882.024,1885.912,1891.75,1899.435,1908.875,1920.134,1933.147,1947.682,1963.418,1979.658,1995.539,2010.271,2023.135,2033.399,2040.969,2045.809,2047.928,2047.426,2044.774,2040.274,2034.339,2027.43,2020.062,2012.697,2005.776,1999.66,1994.638,1990.911,1988.619,1987.803,1988.465,1990.527,1993.897,1998.462,2004.087,2010.563,2017.735,2025.413,2033.421,2041.574,2049.671,2057.495,2064.868,2071.62,2077.594,2082.674,2086.776,2089.864,2091.934,2093.029,2093.241,2092.682,2091.502,2089.882,2087.972,2085.978,2084.073,2082.418,2081.153,2080.413,2080.269,2080.784,2081.978,Male
 30-34,1889.726,1908.854,1925.181,1947.55,1966.797,1965.64,1966.896,1950.422,1930.031,1918.577,1905.119,1887.508,1869.434,1839.508,1804.592,1784.163,1775.295,1781.866,1812.52,1858.547,1910.251,1950.574,1991.117,2024.245,2057.384,2070.026,2078.075,2078.892,2074.32,2052.786,2030.565,2003.203,1977.899,1948.4,1924.959,1909.678,1906.026,1900.961,1897.555,1896.121,1895.848,1896.027,1897.089,1899.386,1903.316,1909.185,1916.897,1926.355,1937.636,1950.663,1965.211,1980.956,1997.207,2013.1,2027.838,2040.718,2050.997,2058.587,2063.448,2065.59,2065.111,2062.492,2058.025,2052.127,2045.262,2037.938,2030.615,2023.728,2017.654,2012.671,2008.987,2006.728,2005.947,2006.632,2008.727,2012.122,2016.712,2022.359,2028.856,2036.044,2043.743,2051.768,2059.933,2068.044,2075.883,2083.27,2090.04,2096.033,2101.127,2105.247,2108.353,2110.437,2111.552,2111.786,2111.254,2110.098,2108.497,2106.608,2104.641,2102.757,2101.125,Male
 35-39,1845.854,1855.64,1863.185,1871.133,1874.984,1891.327,1908.246,1922.34,1943.218,1961.26,1959.332,1960.255,1943.967,1923.801,1912.539,1899.257,1881.828,1863.925,1834.222,1799.553,1779.324,1770.611,1777.269,1807.901,1853.83,1905.403,1945.619,1986.069,2019.13,2052.213,2064.872,2072.954,2073.836,2069.354,2047.982,2025.92,1998.721,1973.585,1944.273,1921.001,1905.852,1902.283,1897.301,1893.968,1892.604,1892.402,1892.649,1893.768,1896.12,1900.105,1906.02,1913.775,1923.269,1934.575,1947.628,1962.191,1977.947,1994.209,2010.111,2024.864,2037.759,2048.059,2055.679,2060.581,2062.767,2062.344,2059.781,2055.381,2049.549,2042.752,2035.5,2028.251,2021.439,2015.427,2010.51,2006.888,2004.686,2003.95,2004.682,2006.82,2010.252,2014.881,2020.564,2027.089,2034.305,2042.027,2050.077,2058.266,2066.402,2074.264,2081.677,2088.474,2094.491,2099.613,2103.76,2106.897,2109.019,2110.175,2110.449,2109.957,2108.834,Male
 40-44,1686.506,1700.317,1732.546,1769.745,1807.515,1840.546,1848.824,1854.833,1861.854,1865.017,1880.832,1897.467,1911.572,1932.424,1950.416,1948.597,1949.632,1933.563,1913.673,1902.637,1889.575,1872.385,1854.711,1825.316,1791,1771.048,1762.554,1769.323,1799.923,1845.703,1897.083,1937.162,1977.483,2010.465,2043.474,2056.176,2064.327,2065.31,2060.969,2039.836,2018.001,1991.042,1966.154,1937.117,1914.084,1899.123,1895.676,1890.817,1887.602,1886.341,1886.238,1886.573,1887.784,1890.219,1894.277,1900.261,1908.083,1917.626,1928.975,1942.062,1956.654,1972.44,1988.72,2004.64,2019.416,2032.346,2042.682,2050.352,2055.309,2057.567,2057.229,2054.763,2050.46,2044.732,2038.04,2030.893,2023.747,2017.038,2011.134,2006.303,2002.764,2000.64,1999.975,2000.78,2002.98,2006.471,2011.155,2016.887,2023.454,2030.715,2038.478,2046.563,2054.792,2062.966,2070.87,2078.327,2085.163,2091.224,2096.391,2100.579,2103.769,Male
 45-49,1879.694,1841.995,1807.171,1757.224,1711.903,1686.963,1699.526,1730.311,1766.366,1803.15,1835.45,1843.515,1849.61,1856.715,1859.975,1875.783,1892.379,1906.512,1927.332,1945.282,1943.622,1944.821,1929.068,1909.568,1898.838,1886.077,1869.226,1851.883,1822.928,1789.101,1769.528,1761.32,1768.234,1798.773,1844.349,1895.483,1935.383,1975.542,2008.427,2041.345,2054.113,2062.366,2063.497,2059.359,2038.558,2017.048,1990.431,1965.88,1937.219,1914.511,1899.807,1896.521,1891.835,1888.785,1887.671,1887.701,1888.162,1889.502,1892.06,1896.228,1902.304,1910.206,1919.824,1931.237,1944.375,1959.007,1974.827,1991.137,2007.093,2021.905,2034.879,2045.275,2053.02,2058.072,2060.438,2060.215,2057.876,2053.711,2048.126,2041.579,2034.58,2027.581,2021.009,2015.236,2010.531,2007.114,2005.099,2004.539,2005.441,2007.729,2011.304,2016.065,2021.866,2028.5,2035.823,2043.644,2051.789,2060.073,2068.301,2076.256,2083.766,Male
 50-54,1931.434,1927.846,1913.135,1909.296,1894.173,1871.162,1833.186,1798.135,1748.467,1703.541,1678.887,1691.405,1722.058,1757.867,1794.346,1826.387,1834.55,1840.833,1848.104,1851.552,1867.408,1884.023,1898.232,1919.056,1936.995,1935.577,1937.004,1921.68,1902.686,1892.358,1879.992,1863.579,1846.655,1818.254,1785.043,1765.944,1758.098,1765.196,1795.67,1840.999,1891.82,1931.504,1971.458,2004.224,2037.037,2049.895,2058.271,2059.595,2055.717,2035.338,2014.238,1988.063,1963.944,1935.749,1913.449,1899.074,1896.005,1891.54,1888.694,1887.77,1887.972,1888.608,1890.109,1892.812,1897.118,1903.317,1911.326,1921.04,1932.535,1945.745,1960.431,1976.299,1992.653,2008.649,2023.517,2036.557,2047.034,2054.879,2060.046,2062.542,2062.471,2060.3,2056.313,2050.908,2044.547,2037.734,2030.914,2024.518,2018.92,2014.379,2011.118,2009.247,2008.817,2009.844,2012.245,2015.925,2020.782,2026.675,2033.391,2040.795,2048.688,Male
 55-59,1763.37,1811.331,1854.653,1881.813,1899.352,1902.985,1899.139,1884.553,1880.817,1866.127,1843.763,1806.865,1772.952,1724.759,1681.218,1657.55,1670.347,1700.919,1736.474,1772.591,1804.319,1812.656,1819.236,1826.777,1830.505,1846.457,1863.114,1877.453,1898.301,1916.227,1915.127,1916.846,1902.085,1883.77,1873.975,1862.125,1846.295,1829.923,1802.256,1769.861,1751.391,1744.039,1751.391,1781.787,1826.787,1877.196,1916.598,1956.278,1988.887,2021.559,2034.541,2043.074,2044.646,2041.112,2021.292,2000.734,1975.127,1951.577,1924.014,1902.265,1888.328,1885.543,1881.376,1878.811,1878.133,1878.569,1879.428,1881.143,1884.049,1888.542,1894.905,1903.067,1912.909,1924.516,1937.818,1952.583,1968.515,1984.93,2000.988,2015.922,2029.045,2039.632,2047.603,2052.927,2055.608,2055.739,2053.788,2050.033,2044.865,2038.753,2032.193,2025.623,2019.466,2014.096,2009.771,2006.714,2005.037,2004.789,2005.981,2008.536,2012.357,Male
 60-64,1493.186,1529.235,1572.576,1619.301,1668.149,1712.477,1758.775,1800.791,1827.318,1844.703,1848.705,1845.633,1832.239,1829.417,1815.928,1794.891,1759.711,1727.407,1681.332,1639.762,1617.494,1630.68,1661.117,1696.274,1731.842,1763.099,1771.691,1778.709,1786.64,1790.771,1806.873,1823.598,1838.147,1859.054,1876.97,1876.356,1878.515,1864.596,1847.284,1838.264,1827.166,1812.186,1796.62,1770.015,1738.799,1721.233,1714.592,1722.324,1752.599,1797.124,1846.941,1885.937,1925.214,1957.605,1990.085,2003.247,2012.004,2013.94,2010.906,1991.912,1972.144,1947.37,1924.647,1898.004,1877.062,1863.779,1861.406,1857.682,1855.526,1855.218,1856,1857.198,1859.239,1862.447,1867.214,1873.822,1882.195,1892.231,1904.006,1917.448,1932.332,1948.366,1964.869,1981.019,1996.058,2009.315,2020.063,2028.239,2033.797,2036.743,2037.171,2035.54,2032.127,2027.318,2021.577,2015.384,2009.177,2003.376,1998.337,1994.338,1991.587,Male
 65-69,1366.142,1354.503,1352.02,1366.273,1392.992,1423.44,1457.716,1499.187,1544.104,1591.215,1634.175,1679.098,1719.997,1746.181,1763.73,1768.495,1766.586,1754.81,1753.19,1741.343,1722.133,1689.351,1659.267,1616.131,1577.31,1556.959,1570.627,1600.812,1635.378,1670.164,1700.766,1709.725,1717.346,1725.823,1730.532,1746.834,1763.665,1778.513,1799.5,1817.416,1817.508,1820.285,1807.55,1791.651,1783.703,1773.667,1759.895,1745.468,1720.38,1690.837,1674.546,1668.888,1677.124,1707.206,1751.04,1800.012,1838.434,1877.137,1909.217,1941.424,1954.847,1963.931,1966.383,1964.067,1946.24,1927.599,1904.012,1882.46,1857.14,1837.35,1824.989,1823.211,1820.117,1818.545,1818.774,1820.051,1821.729,1824.226,1827.866,1833.024,1839.977,1848.661,1858.972,1870.979,1884.621,1899.667,1915.845,1932.48,1948.771,1963.967,1977.414,1988.405,1996.868,2002.759,2006.09,2006.952,2005.79,2002.875,1998.584,1993.366,1987.695,Male
 70-74,1304.718,1330.533,1346.974,1351.884,1288.895,1260.928,1250.93,1249.553,1263.621,1289.208,1318.496,1351.39,1390.918,1433.822,1478.864,1520.127,1563.18,1602.429,1628.029,1645.692,1651.408,1651.016,1641.381,1641.329,1631.669,1614.887,1585.336,1558.248,1519.145,1484.076,1466.333,1480.615,1510.415,1544.12,1577.778,1607.434,1616.885,1625.327,1634.535,1640.028,1656.59,1673.564,1688.823,1709.913,1727.813,1728.88,1732.499,1721.416,1707.482,1701.015,1692.444,1680.36,1667.51,1644.521,1617.296,1602.746,1598.447,1607.372,1637.159,1679.988,1727.753,1765.361,1803.235,1834.863,1866.674,1880.458,1889.965,1893.135,1891.806,1875.622,1858.556,1836.636,1816.723,1793.252,1775.083,1764.029,1763.094,1760.894,1760.144,1761.121,1763.092,1765.445,1768.587,1772.837,1778.547,1785.993,1795.107,1805.797,1818.13,1832.046,1847.324,1863.694,1880.512,1896.998,1912.419,1926.135,1937.462,1946.33,1952.703,1956.585,1958.064,Male
 75-79,861.788,901.263,938.656,988.451,1087.002,1139.394,1162.41,1177.11,1181.462,1129.081,1106.958,1100.221,1100.766,1114.877,1139.082,1166.849,1197.736,1234.322,1274.154,1316.033,1354.653,1394.813,1431.463,1455.98,1473.573,1480.413,1481.97,1475.185,1477.173,1470.459,1456.984,1431.905,1408.975,1375.548,1345.785,1331.699,1346.76,1375.913,1408.262,1440.15,1468.288,1478.325,1487.857,1498.031,1504.562,1521.408,1538.476,1554.25,1575.396,1593.174,1595.56,1600.289,1591.522,1580.392,1576.014,1569.503,1559.814,1549.189,1529.201,1505.31,1493.257,1490.904,1500.793,1530.097,1571.379,1617.29,1653.623,1690.183,1721.071,1752.232,1766.48,1776.531,1780.687,1780.763,1766.973,1752.185,1732.67,1715.145,1694.395,1678.609,1669.462,1669.728,1668.828,1669.278,1671.328,1674.307,1677.64,1681.714,1686.836,1693.338,1701.485,1711.215,1722.439,1735.22,1749.512,1765.109,1781.748,1798.809,1815.543,1831.265,1845.357,Male
 80-84,616.872,635.376,645.368,643.882,653.437,676.516,709.937,741.587,781.906,863.411,907.046,926.704,938.751,942.168,903.844,889.344,886.724,889.577,903.41,925.361,950.61,978.284,1010.326,1045.378,1082.308,1116.688,1152.271,1184.778,1207.305,1224.331,1232.325,1236.205,1233.062,1237.542,1234.63,1225.532,1206.524,1189.23,1163.633,1141.182,1132.04,1147.887,1175.752,1205.801,1234.82,1260.46,1271.049,1281.858,1293.147,1300.91,1317.887,1334.822,1351.066,1372.002,1389.32,1393.392,1399.507,1393.911,1386.682,1385.153,1381.466,1375.114,1367.596,1351.874,1332.758,1324.248,1324.619,1335.778,1364.161,1402.921,1445.849,1480.066,1514.454,1544.039,1574.029,1588.785,1599.476,1604.945,1606.981,1596.654,1585.172,1569.165,1555.13,1538.39,1526.105,1519.739,1521.701,1522.656,1524.819,1528.402,1532.801,1537.519,1542.91,1549.26,1556.87,1565.983,1576.549,1588.491,1601.872,1616.644,1632.63,Male
 85-89,341.387,350.409,360.404,370.539,382.231,396.295,408.958,416.743,416.545,424.779,443.056,468.398,491.537,519.164,577.552,608.709,622.896,630.911,632.951,611.056,605.01,606.576,611.447,623.996,642.131,663.049,685.455,710.571,738.286,767.591,795.242,823.68,849.692,868.605,883.89,892.524,898.571,899.416,906.287,907.57,903.604,892.142,881.897,866.237,853.011,849.831,865.839,890.932,916.907,941.218,962.764,973.47,985.294,997.37,1006.184,1022.603,1038.671,1054.815,1074.684,1090.719,1096.571,1104.086,1102.471,1100.218,1102.206,1102.052,1099.971,1096.474,1086.489,1073.872,1070.052,1073.875,1086.332,1112.779,1147.271,1185.24,1215.807,1246.486,1273.633,1301.368,1316.393,1327.594,1334.607,1339.155,1333.604,1326.694,1315.63,1306.516,1295.464,1288.103,1285.585,1289.789,1293.226,1297.661,1303.252,1309.497,1316.012,1323.105,1331.028,1340.042,1350.355,Male
 90-94,129.124,133.883,139.041,144.45,149.531,153.799,158.304,164.248,170.345,177.127,184.827,191.635,196.097,196.383,201.786,212.954,227.672,240.406,254.493,286.669,303.431,310.968,314.805,315.811,308.054,308.25,311.99,317.077,326.316,338.493,352.557,367.233,383.114,400.877,419.771,437.895,456.419,473.43,486.543,497.973,505.528,512.036,515.485,522.941,526.976,527.266,522.997,519.489,513.569,509.215,511.039,524.985,544.489,563.658,580.869,596.221,605.586,616.744,627.942,636.462,650.417,663.81,677.995,694.665,707.674,714.336,722.198,724.228,726.662,731.585,734.594,736.591,737.058,733.295,727.909,728.885,735.724,748.375,770.693,798.063,827.953,852.292,876.677,899.154,922.407,936.467,947.185,955.132,961.893,961.702,959.994,954.761,951.426,947.22,945.674,947.5,953.833,959.749,966.394,973.835,981.731,Male
 95-99,26.737,28.629,29.665,31.007,32.41,33.591,34.771,36.404,38.189,39.882,41.288,42.815,44.926,47.09,49.43,51.976,54.186,55.711,55.879,58.082,62.376,67.729,72.042,76.505,87.951,93.548,95.953,97.094,97.584,96.652,98.233,100.755,103.528,107.794,113.072,119.186,125.403,131.941,139.419,147.44,155.238,163.179,170.496,176.434,181.99,186.053,190.015,192.778,197.48,200.707,202.075,201.607,201.601,201.163,201.439,204.356,212.649,223.171,232.864,241.111,248.586,254.081,261.178,268.165,273.515,281.812,289.604,298.323,308.201,315.485,320.142,325.576,328.47,332.27,336.986,340.397,343.615,345.66,345.861,345.482,348.646,355.248,364.534,378.608,394.666,412.069,426.233,440.468,454.338,468.984,478.598,485.917,492.159,498.479,501.405,502.993,502.249,503.212,504.322,506.819,510.941,Male
