Age Group,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,Sex
 100 & over,1.927,1.937,2.46,2.832,3.064,3.229,3.382,3.545,3.742,3.934,4.09,4.258,4.507,4.783,5.042,5.251,5.489,5.839,6.193,6.564,6.956,7.296,7.55,7.595,8.039,8.837,9.766,10.455,11.137,13.175,14.064,14.422,14.602,14.767,15.003,15.557,16.186,16.813,17.727,18.822,20.111,21.389,22.709,24.282,25.989,27.665,29.369,30.955,32.316,33.69,34.767,35.914,36.812,38.203,39.244,39.799,40.014,40.398,40.869,41.473,42.639,45.048,47.88,50.303,52.273,54.187,55.939,58.325,60.563,62.237,64.828,67.199,70.03,73.118,75.219,76.9,78.89,80.346,82.299,84.289,85.787,87.404,88.542,89.354,90.117,91.974,94.948,98.458,103.218,108.29,113.884,118.477,123.212,128.239,133.65,137.474,140.343,143.2,146.482,148.871,150.45,Male
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,Female
  0-4,1630.474,1607.341,1586.496,1560.569,1539.989,1527.314,1523.999,1518.989,1515.575,1514.064,1513.669,1513.707,1514.593,1516.665,1520.291,1525.778,1533.044,1541.971,1552.643,1564.988,1578.787,1593.738,1609.173,1624.267,1638.267,1650.487,1660.206,1667.364,1671.917,1673.859,1673.303,1670.707,1666.341,1660.605,1653.947,1646.836,1639.738,1633.069,1627.172,1622.32,1618.706,1616.462,1615.635,1616.209,1618.122,1621.283,1625.582,1630.88,1637,1643.778,1651.045,1658.631,1666.354,1674.023,1681.443,1688.432,1694.828,1700.484,1705.284,1709.146,1712.041,1713.965,1714.963,1715.115,1714.535,1713.368,1711.766,1709.907,1707.965,1706.108,1704.485,1703.24,1702.484,1702.298,1702.734,1703.836,1705.592,1707.975,1710.942,1714.426,1718.337,1722.588,1727.075,1731.693,1736.337,1740.909,1745.319,1749.483,1753.327,1756.799,1759.861,1762.49,1764.678,1766.437,1767.787,1768.776,1769.452,1769.88,1770.121,1770.256,1770.354,Female
  5-9,1719.932,1728.416,1728.98,1724.499,1703.291,1682.447,1657.25,1634.324,1607.018,1585.348,1571.915,1568.234,1563.242,1559.844,1558.352,1557.975,1558.027,1558.931,1561.019,1564.665,1570.165,1577.44,1586.37,1597.038,1609.383,1623.183,1638.132,1653.56,1668.649,1682.641,1694.857,1704.574,1711.734,1716.294,1718.25,1717.703,1715.118,1710.771,1705.056,1698.415,1691.324,1684.241,1677.582,1671.701,1666.865,1663.269,1661.034,1660.215,1660.801,1662.722,1665.89,1670.194,1675.498,1681.62,1688.399,1695.669,1703.26,1710.982,1718.649,1726.074,1733.065,1739.462,1745.12,1749.927,1753.795,1756.694,1758.627,1759.625,1759.784,1759.216,1758.056,1756.466,1754.617,1752.684,1750.837,1749.221,1747.984,1747.235,1747.055,1747.502,1748.616,1750.379,1752.769,1755.74,1759.226,1763.143,1767.399,1771.889,1776.511,1781.158,1785.735,1790.146,1794.31,1798.154,1801.634,1804.702,1807.333,1809.527,1811.289,1812.643,1813.639,Female
 10-14,1596.348,1637.137,1677.733,1710.446,1744.902,1756.562,1763.524,1762.498,1757.066,1735.159,1713.855,1688.445,1665.558,1638.285,1616.645,1603.231,1599.567,1594.58,1591.194,1589.715,1589.341,1589.401,1590.316,1592.418,1596.072,1601.576,1608.856,1617.79,1628.457,1640.803,1654.597,1669.544,1684.966,1700.047,1714.035,1726.254,1735.969,1743.128,1747.688,1749.649,1749.112,1746.538,1742.202,1736.5,1729.867,1722.788,1715.715,1709.066,1703.196,1698.371,1694.786,1692.563,1691.75,1692.339,1694.264,1697.437,1701.746,1707.058,1713.182,1719.962,1727.233,1734.822,1742.542,1750.208,1757.632,1764.625,1771.026,1776.689,1781.495,1785.365,1788.268,1790.203,1791.208,1791.37,1790.806,1789.652,1788.064,1786.22,1784.297,1782.456,1780.851,1779.621,1778.878,1778.706,1779.159,1780.27,1782.03,1784.425,1787.4,1790.89,1794.807,1799.064,1803.557,1808.186,1812.836,1817.413,1821.825,1825.992,1829.839,1833.32,1836.386,Female
 15-19,1506.704,1502.982,1514.822,1545.19,1590.329,1641.377,1680.429,1719.267,1750.871,1784.537,1795.697,1802.43,1801.429,1796.015,1774.169,1752.911,1727.546,1704.703,1677.474,1655.871,1642.492,1638.847,1633.863,1630.486,1629.016,1628.652,1628.72,1629.646,1631.76,1635.419,1640.935,1648.218,1657.156,1667.825,1680.167,1693.96,1708.902,1724.322,1739.404,1753.392,1765.61,1775.326,1782.492,1787.057,1789.03,1788.505,1785.946,1781.623,1775.932,1769.311,1762.243,1755.186,1748.55,1742.694,1737.884,1734.307,1732.09,1731.286,1731.882,1733.814,1736.994,1741.306,1746.623,1752.751,1759.533,1766.807,1774.397,1782.117,1789.786,1797.213,1804.21,1810.617,1816.286,1821.094,1824.972,1827.882,1829.827,1830.836,1831.001,1830.441,1829.295,1827.719,1825.887,1823.971,1822.134,1820.539,1819.322,1818.58,1818.412,1818.867,1819.986,1821.755,1824.155,1827.133,1830.627,1834.55,1838.805,1843.299,1847.931,1852.586,1857.168,Female
 20-24,1706.986,1693.79,1677.942,1656.408,1624.869,1606.048,1598.002,1605.43,1632.596,1675.505,1725.213,1763.691,1802.547,1834.175,1867.852,1879.064,1885.854,1884.925,1879.606,1857.832,1836.654,1811.384,1788.633,1761.434,1739.819,1726.419,1722.741,1717.752,1714.363,1712.885,1712.518,1712.584,1713.509,1715.627,1719.293,1724.812,1732.109,1741.066,1751.75,1764.107,1777.914,1792.873,1808.305,1823.406,1837.412,1849.649,1859.395,1866.585,1871.181,1873.17,1872.664,1870.127,1865.824,1860.151,1853.54,1846.488,1839.442,1832.819,1826.977,1822.168,1818.591,1816.375,1815.571,1816.168,1818.1,1821.28,1825.595,1830.915,1837.054,1843.848,1851.134,1858.741,1866.476,1874.161,1881.599,1888.613,1895.031,1900.715,1905.538,1909.433,1912.358,1914.315,1915.338,1915.514,1914.965,1913.822,1912.251,1910.427,1908.519,1906.694,1905.105,1903.889,1903.148,1902.98,1903.438,1904.559,1906.333,1908.745,1911.733,1915.234,1919.165,Female
 25-29,1879.944,1872.251,1854.999,1828.651,1806.336,1789.037,1770.86,1750.059,1724.532,1689.821,1668.765,1659.593,1667.02,1694.241,1737.241,1787.056,1825.654,1864.601,1896.3,1930.042,1941.269,1948.042,1947.071,1941.698,1919.874,1898.635,1873.293,1850.461,1823.218,1801.583,1788.179,1784.513,1779.535,1776.156,1774.686,1774.328,1774.405,1775.336,1777.459,1781.137,1786.667,1793.97,1802.938,1813.636,1826.006,1839.827,1854.802,1870.257,1885.373,1899.396,1911.649,1921.402,1928.594,1933.189,1935.172,1934.656,1932.108,1927.794,1922.107,1915.481,1908.414,1901.35,1894.709,1888.859,1884.045,1880.466,1878.248,1877.442,1878.04,1879.98,1883.158,1887.482,1892.81,1898.957,1905.759,1913.052,1920.663,1928.406,1936.095,1943.542,1950.558,1956.979,1962.67,1967.498,1971.386,1974.309,1976.264,1977.286,1977.457,1976.902,1975.758,1974.181,1972.343,1970.432,1968.605,1967.009,1965.793,1965.049,1964.882,1965.337,1966.46,Female
 30-34,1897.871,1909.329,1914.275,1925.723,1931.856,1917.667,1906.839,1886.473,1857.826,1833.721,1815.168,1796.383,1775.645,1750.177,1715.547,1694.557,1685.462,1692.939,1720.174,1763.14,1812.915,1851.468,1890.358,1922.02,1955.724,1966.945,1973.722,1972.771,1967.433,1945.677,1924.498,1899.209,1876.433,1849.268,1827.702,1814.352,1810.722,1805.782,1802.434,1801,1800.672,1800.773,1801.734,1803.883,1807.579,1813.134,1820.461,1829.444,1840.156,1852.534,1866.366,1881.342,1896.801,1911.914,1925.94,1938.201,1947.951,1955.151,1959.751,1961.755,1961.259,1958.732,1954.438,1948.774,1942.178,1935.138,1928.106,1921.494,1915.669,1910.877,1907.328,1905.135,1904.355,1904.972,1906.93,1910.126,1914.467,1919.809,1925.97,1932.785,1940.09,1947.712,1955.464,1963.158,1970.613,1977.636,1984.067,1989.759,1994.595,1998.492,2001.423,2003.395,2004.43,2004.614,2004.076,2002.948,2001.38,1999.565,1997.669,1995.862,1994.281,Female
 35-39,1871.629,1886.19,1890.787,1895.44,1901.747,1913.961,1923.464,1926.456,1936.548,1941.621,1926.757,1915.634,1895.377,1866.894,1842.961,1824.547,1805.889,1785.278,1759.943,1725.475,1704.615,1695.62,1703.139,1730.358,1773.253,1822.925,1861.385,1900.19,1931.796,1965.449,1976.675,1983.488,1982.591,1977.326,1955.687,1934.622,1909.455,1886.795,1859.754,1838.293,1825.023,1821.448,1816.558,1813.261,1811.875,1811.591,1811.736,1812.732,1814.918,1818.657,1824.238,1831.59,1840.598,1851.332,1863.719,1877.557,1892.542,1908.004,1923.119,1937.147,1949.411,1959.17,1966.389,1971.012,1973.039,1972.577,1970.09,1965.843,1960.228,1953.681,1946.687,1939.704,1933.143,1927.366,1922.62,1919.109,1916.954,1916.21,1916.859,1918.848,1922.068,1926.425,1931.786,1937.97,1944.803,1952.124,1959.763,1967.53,1975.239,1982.709,1989.742,1996.185,2001.893,2006.748,2010.662,2013.616,2015.606,2016.661,2016.868,2016.354,2015.253,Female
 40-44,1704.078,1716.923,1752.209,1793.295,1840.111,1881.596,1894.738,1897.972,1901.717,1907.32,1919.026,1928.278,1931.311,1941.413,1946.509,1931.758,1920.747,1900.647,1872.381,1848.657,1830.421,1811.931,1791.483,1766.336,1732.083,1711.403,1702.544,1710.125,1737.329,1780.134,1829.676,1868.031,1906.746,1938.293,1971.888,1983.141,1989.999,1989.18,1984.012,1962.532,1941.614,1916.598,1894.09,1867.211,1845.891,1832.729,1829.224,1824.408,1821.182,1819.859,1819.634,1819.837,1820.891,1823.128,1826.916,1832.54,1839.931,1848.968,1859.723,1872.131,1885.986,1900.987,1916.456,1931.581,1945.62,1957.896,1967.678,1974.926,1979.585,1981.661,1981.249,1978.812,1974.621,1969.07,1962.588,1955.664,1948.746,1942.25,1936.532,1931.842,1928.384,1926.28,1925.584,1926.271,1928.298,1931.553,1935.941,1941.334,1947.546,1954.405,1961.751,1969.413,1977.204,1984.934,1992.421,1999.478,2005.946,2011.678,2016.559,2020.501,2023.484,Female
 45-49,1919.548,1878.44,1840.203,1785.697,1738.246,1711.031,1722.865,1757.034,1797.242,1843.277,1884.178,1897.129,1900.444,1904.273,1909.954,1921.698,1930.993,1934.112,1944.262,1949.419,1934.845,1924.004,1904.13,1876.152,1852.704,1834.697,1816.433,1796.206,1771.305,1737.34,1716.883,1708.198,1715.855,1743.032,1785.727,1835.125,1873.371,1911.979,1943.465,1976.994,1988.283,1995.209,1994.487,1989.446,1968.169,1947.442,1922.624,1900.306,1873.641,1852.499,1839.477,1836.067,1831.351,1828.217,1826.977,1826.833,1827.112,1828.244,1830.551,1834.404,1840.085,1847.526,1856.598,1867.389,1879.831,1893.711,1908.729,1924.218,1939.355,1953.409,1965.716,1975.541,1982.833,1987.544,1989.675,1989.322,1986.963,1982.852,1977.387,1970.993,1964.153,1957.317,1950.9,1945.259,1940.644,1937.257,1935.224,1934.585,1935.328,1937.405,1940.706,1945.136,1950.564,1956.81,1963.704,1971.086,1978.783,1986.611,1994.374,2001.892,2008.98,Female
 50-54,1984.017,1981.716,1966.127,1962.016,1945.983,1919.211,1877.751,1839.264,1784.904,1737.669,1710.634,1722.453,1756.56,1796.606,1842.377,1883.036,1896.012,1899.479,1903.458,1909.271,1921.098,1930.467,1933.718,1943.955,1949.219,1934.899,1924.303,1904.733,1877.149,1854.072,1836.374,1818.407,1798.472,1773.899,1740.319,1720.17,1711.726,1719.502,1746.655,1789.205,1838.402,1876.505,1914.973,1946.38,1979.827,1991.178,1998.186,1997.597,1992.729,1971.727,1951.258,1926.713,1904.652,1878.274,1857.383,1844.56,1841.283,1836.704,1833.695,1832.572,1832.536,1832.923,1834.161,1836.567,1840.51,1846.273,1853.777,1862.91,1873.752,1886.236,1900.149,1915.194,1930.704,1945.87,1959.957,1972.305,1982.181,1989.532,1994.31,1996.524,1996.27,1994.013,1990.011,1984.659,1978.38,1971.658,1964.932,1958.627,1953.095,1948.584,1945.296,1943.347,1942.792,1943.611,1945.757,1949.123,1953.61,1959.095,1965.392,1972.337,1979.767,Female
 55-59,1809.959,1862.989,1912.329,1945.751,1963.994,1969.119,1966.311,1950.637,1946.484,1930.646,1904.314,1863.627,1825.972,1772.707,1726.461,1700.137,1712.169,1746.189,1786.015,1831.412,1871.727,1884.748,1888.435,1892.631,1898.637,1910.591,1920.07,1923.513,1933.88,1939.307,1925.365,1915.102,1895.961,1868.929,1846.381,1829.114,1811.58,1792.063,1767.953,1734.931,1715.221,1707.118,1715.056,1742.185,1784.528,1833.449,1871.36,1909.638,1940.935,1974.275,1985.71,1992.836,1992.434,1987.805,1967.193,1947.093,1922.925,1901.237,1875.28,1854.752,1842.204,1839.112,1834.733,1831.913,1830.961,1831.086,1831.628,1833.016,1835.558,1839.623,1845.497,1853.105,1862.324,1873.239,1885.786,1899.755,1914.844,1930.393,1945.604,1959.735,1972.143,1982.09,1989.529,1994.415,1996.753,1996.633,1994.526,1990.68,1985.489,1979.369,1972.806,1966.252,1960.111,1954.733,1950.37,1947.219,1945.396,1944.957,1945.887,1948.138,1951.598,Female
 60-64,1551.188,1587.226,1632.588,1682.843,1734.885,1784.538,1835.864,1883.888,1916.501,1934.413,1939.62,1937.236,1922.365,1918.829,1903.782,1878.415,1838.974,1802.497,1750.789,1705.944,1680.621,1692.937,1726.82,1766.309,1811.165,1850.993,1864.085,1868.104,1872.625,1878.912,1891.053,1900.705,1904.45,1915.013,1920.688,1907.298,1897.533,1879.017,1852.799,1831.012,1814.372,1797.454,1778.543,1755.104,1722.885,1703.803,1696.188,1704.367,1731.457,1773.495,1822.028,1859.67,1897.685,1928.84,1962.026,1973.589,1980.885,1980.752,1976.478,1956.444,1936.875,1913.26,1892.104,1866.752,1846.747,1834.612,1831.804,1827.721,1825.175,1824.471,1824.821,1825.593,1827.195,1829.943,1834.196,1840.236,1847.992,1857.34,1868.364,1881.011,1895.062,1910.221,1925.832,1941.105,1955.313,1967.811,1977.87,1985.442,1990.48,1992.997,1993.079,1991.188,1987.572,1982.62,1976.744,1970.432,1964.119,1958.207,1953.055,1948.907,1945.957,Female
 65-69,1456.451,1445.992,1440.467,1452.56,1478.659,1510.378,1544.809,1588.639,1637.368,1687.977,1736.416,1786.578,1833.638,1865.79,1883.739,1889.4,1887.766,1874.025,1871.335,1857.399,1833.377,1795.69,1760.844,1711.317,1668.412,1644.474,1657.172,1690.849,1729.877,1773.986,1813.159,1826.384,1830.88,1835.869,1842.562,1854.975,1864.897,1869.074,1879.928,1885.979,1873.397,1864.343,1846.724,1821.646,1800.914,1785.136,1769.085,1751.016,1728.524,1697.435,1679.221,1672.285,1680.785,1707.818,1749.436,1797.419,1834.708,1872.36,1903.331,1936.311,1948.071,1955.608,1955.867,1952.089,1932.857,1914.029,1891.191,1870.783,1846.277,1827.017,1815.476,1813.067,1809.409,1807.256,1806.916,1807.601,1808.696,1810.604,1813.643,1818.162,1824.441,1832.406,1841.946,1853.135,1865.916,1880.082,1895.338,1911.049,1926.419,1940.735,1953.369,1963.589,1971.358,1976.625,1979.4,1979.77,1978.189,1974.901,1970.29,1964.758,1958.791,Female
 70-74,1420.082,1450.374,1472.601,1480.919,1415.794,1383.793,1373.942,1369.268,1381.272,1406.597,1437.424,1470.916,1513.296,1560.426,1609.441,1656.456,1705.102,1750.735,1782.192,1800.166,1806.453,1805.887,1793.762,1792.287,1779.943,1757.841,1722.654,1690.128,1643.749,1603.654,1581.719,1594.973,1628.367,1666.719,1709.733,1747.92,1761.318,1766.521,1772.185,1779.459,1792.263,1802.565,1807.385,1818.67,1825.267,1813.861,1805.82,1789.481,1766.062,1746.861,1732.324,1717.528,1700.675,1679.545,1650.094,1633.135,1627.186,1636.16,1663.112,1704.104,1751.292,1788.067,1825.185,1855.884,1888.569,1900.614,1908.482,1909.285,1906.229,1888.172,1870.419,1848.704,1829.393,1806.13,1787.964,1777.292,1775.474,1772.45,1770.88,1771.06,1772.232,1773.802,1776.162,1779.627,1784.539,1791.169,1799.446,1809.257,1820.683,1833.667,1848.01,1863.421,1879.268,1894.782,1909.262,1922.092,1932.554,1940.613,1946.22,1949.38,1950.172,Female
 75-79,1001.338,1040.628,1078.607,1130.788,1236.155,1294.007,1321.025,1341.16,1348.378,1290.976,1263.522,1256.06,1253.172,1265.463,1289.942,1319.636,1351.791,1391.905,1436.552,1483.079,1527.863,1574.123,1617.497,1647.804,1665.725,1672.875,1673.854,1664.116,1664.429,1654.44,1635.176,1603.713,1574.649,1533.044,1497.189,1478.276,1492.359,1525.282,1562.553,1603.801,1640.37,1653.961,1660.204,1666.858,1674.986,1688.358,1699.185,1704.934,1716.837,1724.233,1714.6,1708.075,1693.66,1672.762,1655.899,1643.237,1630.358,1615.344,1596.28,1569.332,1554.307,1549.892,1559.592,1586.41,1626.399,1672.314,1708.244,1744.487,1774.73,1806.921,1819.376,1827.709,1829.326,1827.365,1811.122,1795.024,1775.029,1757.401,1736.084,1719.63,1710.305,1709.387,1707.328,1706.652,1707.638,1709.563,1711.865,1714.931,1719.057,1724.572,1731.733,1740.481,1750.709,1762.496,1775.787,1790.392,1806.029,1822.084,1837.814,1852.543,1865.673,Female
 80-84,786.884,805.241,813.689,809.32,817.933,841.955,876.092,909.586,953.965,1045.55,1095.912,1119.521,1136.479,1142.046,1096.301,1075.692,1071.759,1071.45,1084.04,1107.081,1134.878,1164.802,1201.241,1241.837,1284.291,1325.381,1367.69,1407.308,1435.573,1453.142,1461.373,1464.498,1458.212,1461.038,1454.461,1439.386,1413.517,1389.652,1355.318,1325.921,1311.561,1326.758,1358.763,1394.14,1432.397,1466.217,1479.92,1487.621,1495.665,1504.962,1519.06,1530.555,1537.619,1550.343,1558.849,1551.881,1547.608,1536.113,1519.113,1505.877,1496.087,1486.146,1473.952,1458.096,1435.065,1423.043,1421.002,1431.77,1458.274,1496.533,1540.282,1574.741,1609.457,1638.855,1670.138,1683.146,1692.118,1694.948,1694.663,1681.292,1667.804,1650.519,1635.554,1617.342,1603.617,1596.422,1596.902,1596.357,1597.082,1599.324,1602.419,1605.861,1610.012,1615.155,1621.599,1629.582,1639.052,1649.915,1662.241,1675.984,1690.971,Female
 85-89,524.315,528.667,532.672,539.033,548.588,562.084,575.092,582.35,579.818,587.841,608.17,636.026,662.321,695.054,765.789,804.471,822.43,834.394,837.54,807.879,796.468,797.003,799.836,812.268,832.596,856.904,882.796,913.114,946.952,982.559,1017.319,1052.917,1086.166,1110.637,1126.967,1136.133,1141.781,1140.028,1145.951,1143.91,1134.633,1116.76,1100.371,1076.628,1056.614,1048.713,1065.014,1094.926,1126.717,1159.773,1188.83,1202.222,1211.67,1221.369,1231.999,1246.711,1258.777,1267.432,1280.976,1290.785,1287.603,1286.51,1279.293,1268.108,1260.25,1254.692,1249.107,1241.11,1230.078,1213.053,1205.569,1207.036,1219.202,1244.846,1279.941,1319.811,1351.523,1383.413,1411.099,1440.565,1454.16,1463.882,1468.41,1470.612,1461.713,1452.27,1439.23,1428.446,1415.16,1405.74,1401.865,1404.45,1406.212,1409.063,1413.196,1418.041,1423.192,1428.969,1435.633,1443.449,1452.631,Female
 90-94,252.952,257.209,261.609,265.974,269.517,271.487,273.222,277.125,282.447,289.311,297.918,305.907,310.693,309.677,315.719,329.619,347.714,363.771,382.135,425.375,448.459,458.781,464.955,466.148,453.565,451.122,455.126,459.985,470.41,485.526,503.374,522.086,542.931,566.337,591.203,615.749,640.732,664.003,681.885,694.922,703.653,710.763,713.166,721.129,723.324,720.299,711.727,704.099,692.885,683.871,682.958,698.686,723.518,748.473,772.952,794.309,806.001,816.282,826.701,837.649,851.63,863.123,872.612,885.825,896.114,897.094,899.38,897.248,893.232,891.862,891.307,890.901,888.059,883.15,874.028,872.222,877.692,890.714,913.75,942.882,975.674,1002.098,1028.599,1052.53,1078.049,1091.472,1101.377,1107.587,1112.669,1109.744,1105.722,1098.5,1093.433,1087.02,1083.525,1084.054,1089.161,1093.78,1099.224,1105.591,1112.468,Female
 95-99,79.122,81.692,80.264,79.435,78.878,78.607,79.297,81.001,82.673,84.006,84.8,85.767,87.829,90.383,93.351,96.749,99.8,101.74,101.5,104.448,110.658,118.266,124.509,131.084,148.616,157.464,161.158,163.203,163.671,161.436,162.77,166.229,169.686,175.295,182.784,191.542,200.556,210.154,221.089,232.856,244.588,256.458,267.483,276.311,283.294,288.624,293.714,296.761,302.778,305.753,306.075,304.019,302.543,300.328,298.943,301.416,312.099,326.927,340.786,353.42,364.389,371.562,379.133,386.741,394.527,404.015,411.727,418.802,428.083,435.615,438.259,441.564,442.63,443.655,446.303,448.602,451.184,451.862,451.673,449.43,451.577,458.354,468.831,484.781,503.093,523.542,540.097,556.715,572.565,589.614,599.597,607.029,612.79,618.746,620.577,621.015,619.201,619.305,619.34,620.991,624.681,Female
