Age Group,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,Sex
 100 & over,9.414,9.259,10.836,11.66,11.939,11.996,11.946,11.844,11.764,11.673,11.63,11.765,12.08,12.375,12.599,12.741,12.972,13.45,13.994,14.574,15.2,15.756,16.148,16.155,16.889,18.276,19.85,21.021,22.182,25.834,27.494,28.117,28.478,28.68,29.005,29.796,30.855,31.817,33.228,35.044,37.183,39.349,41.567,44.188,47.062,49.956,52.87,55.577,57.868,59.849,61.537,63.325,64.621,66.762,67.996,68.527,68.594,68.886,69.336,69.83,71.273,74.887,79.439,83.339,86.646,89.663,92.209,95.291,98.253,101.169,104.619,107.356,110.151,113.702,116.643,118.202,119.97,121.185,122.859,125,126.573,128.393,129.376,130.331,130.821,132.82,136.513,140.969,147.075,153.393,160.641,166.644,172.806,179.233,186.174,190.729,194.109,197.338,201.167,203.855,205.392,Female
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,Persons
  0-4,3346.727,3298.341,3254.058,3199.741,3156.575,3129.202,3122.493,3112.277,3105.324,3102.265,3101.483,3101.588,3103.426,3107.691,3115.143,3126.404,3141.304,3159.613,3181.497,3206.816,3235.111,3265.763,3297.406,3328.352,3357.053,3382.106,3402.04,3416.718,3426.058,3430.051,3428.922,3423.608,3414.67,3402.92,3389.283,3374.722,3360.178,3346.516,3334.443,3324.506,3317.106,3312.51,3310.819,3312.006,3315.935,3322.423,3331.24,3342.107,3354.659,3368.562,3383.468,3399.029,3414.87,3430.591,3445.8,3460.129,3473.245,3484.842,3494.685,3502.612,3508.552,3512.501,3514.55,3514.87,3513.684,3511.299,3508.028,3504.223,3500.248,3496.444,3493.127,3490.58,3489.039,3488.661,3489.567,3491.829,3495.432,3500.326,3506.412,3513.556,3521.58,3530.296,3539.494,3548.964,3558.487,3567.865,3576.906,3585.44,3593.326,3600.454,3606.738,3612.129,3616.611,3620.221,3622.998,3625.033,3626.423,3627.304,3627.805,3628.081,3628.289,Persons
  5-9,3523.866,3542.243,3545.214,3537.022,3494.763,3451.951,3399.368,3350.849,3293.743,3248.387,3219.489,3212.037,3201.873,3194.961,3191.936,3191.196,3191.331,3193.207,3197.505,3204.987,3216.272,3231.192,3249.51,3271.395,3296.714,3325.016,3355.668,3387.297,3418.233,3446.92,3471.966,3491.894,3506.577,3515.928,3519.942,3518.838,3513.552,3504.645,3492.934,3479.333,3464.813,3450.307,3436.674,3424.628,3414.724,3407.355,3402.784,3401.109,3402.319,3406.261,3412.761,3421.589,3432.475,3445.04,3458.952,3473.866,3489.434,3505.273,3520.992,3536.21,3550.543,3563.662,3575.263,3585.116,3593.051,3599.002,3602.966,3605.022,3605.36,3604.196,3601.825,3598.575,3594.789,3590.832,3587.053,3583.75,3581.223,3579.697,3579.334,3580.262,3582.542,3586.157,3591.064,3597.156,3604.302,3612.335,3621.066,3630.275,3639.752,3649.285,3658.668,3667.714,3676.251,3684.138,3691.277,3697.57,3702.974,3707.466,3711.084,3713.872,3715.916,Persons
 10-14,3274.119,3357.876,3441.053,3508.137,3576.63,3601.405,3616.583,3616.239,3606.053,3562.332,3518.552,3465.524,3417.089,3360.061,3314.772,3285.912,3278.494,3268.343,3261.455,3258.456,3257.73,3257.883,3259.782,3264.097,3271.597,3282.891,3297.822,3316.151,3338.035,3363.356,3391.65,3422.295,3453.922,3484.848,3513.528,3538.571,3558.494,3573.181,3582.532,3586.555,3585.462,3580.195,3571.312,3559.627,3546.041,3531.549,3517.07,3503.454,3491.432,3481.548,3474.195,3469.643,3467.985,3469.205,3473.159,3479.668,3488.509,3499.409,3511.979,3525.891,3540.807,3556.375,3572.215,3587.939,3603.158,3617.49,3630.607,3642.21,3652.064,3660.005,3665.964,3669.935,3672.005,3672.348,3671.197,3668.836,3665.6,3661.822,3657.88,3654.11,3650.824,3648.304,3646.79,3646.448,3647.391,3649.677,3653.293,3658.21,3664.308,3671.459,3679.497,3688.226,3697.438,3706.922,3716.459,3725.848,3734.9,3743.447,3751.34,3758.481,3764.771,Persons
 15-19,3096.575,3089.942,3113.204,3177.717,3271.346,3375.588,3455.54,3534.856,3599.511,3666.287,3689.984,3704.682,3704.386,3694.238,3650.637,3606.96,3554.032,3505.687,3448.761,3403.556,3374.771,3367.401,3357.259,3350.394,3347.416,3346.708,3346.878,3348.799,3353.137,3360.65,3371.966,3386.907,3405.244,3427.135,3452.454,3480.75,3511.395,3543.016,3573.945,3602.626,3627.666,3647.592,3662.291,3671.653,3675.7,3674.631,3669.391,3660.533,3648.875,3635.318,3620.855,3606.401,3592.812,3580.815,3570.958,3563.63,3559.098,3557.457,3558.695,3562.661,3569.185,3578.036,3588.951,3601.529,3615.449,3630.374,3645.946,3661.79,3677.521,3692.742,3707.077,3720.205,3731.819,3741.679,3749.631,3755.601,3759.586,3761.673,3762.03,3760.893,3758.553,3755.332,3751.568,3747.64,3743.88,3740.612,3738.116,3736.613,3736.281,3737.229,3739.527,3743.164,3748.092,3754.196,3761.351,3769.398,3778.128,3787.344,3796.838,3806.382,3815.778,Persons
 20-24,3512.654,3487.975,3459.619,3412.241,3348.938,3311.884,3296.014,3309.918,3367.68,3456.581,3557.974,3636.707,3716.077,3780.789,3847.575,3871.365,3886.165,3886.014,3876.079,3832.667,3789.183,3736.475,3688.361,3631.552,3586.381,3557.592,3550.179,3540.039,3533.172,3530.188,3529.481,3529.657,3531.586,3535.943,3543.479,3554.81,3569.776,3588.153,3610.077,3635.427,3663.749,3694.426,3726.074,3757.039,3785.754,3810.835,3830.823,3845.567,3854.988,3859.083,3858.066,3852.871,3844.068,3832.454,3818.935,3804.514,3790.097,3776.543,3764.575,3754.738,3747.426,3742.905,3741.269,3742.512,3746.492,3753.027,3761.889,3772.816,3785.416,3799.36,3814.312,3829.916,3845.792,3861.556,3876.807,3891.181,3904.34,3915.989,3925.882,3933.865,3939.869,3943.889,3946.008,3946.388,3945.277,3942.948,3939.748,3936.011,3932.104,3928.369,3925.12,3922.627,3921.138,3920.82,3921.785,3924.096,3927.741,3932.685,3938.805,3945.973,3954.041,Persons
 25-29,3815.924,3813.069,3783.024,3738.878,3707.133,3677.769,3642.635,3603.637,3548.041,3478.261,3436.656,3418.511,3432.434,3490.29,3579.346,3680.923,3759.875,3839.409,3904.252,3971.156,3995.018,4009.825,4009.644,3999.652,3956.212,3912.677,3859.895,3811.673,3754.813,3709.633,3680.863,3673.487,3663.39,3656.555,3653.606,3652.936,3653.149,3655.102,3659.483,3667.049,3678.417,3693.405,3711.813,3733.77,3759.153,3787.509,3818.22,3849.915,3880.912,3909.667,3934.784,3954.801,3969.563,3978.998,3983.1,3982.082,3976.882,3968.068,3956.446,3942.911,3928.476,3914.047,3900.485,3888.519,3878.683,3871.377,3866.867,3865.245,3866.505,3870.507,3877.055,3885.944,3896.897,3909.52,3923.494,3938.465,3954.084,3969.98,3985.766,4001.037,4015.426,4028.599,4040.264,4050.172,4058.162,4064.173,4068.198,4070.315,4070.698,4069.584,4067.26,4064.063,4060.315,4056.41,4052.678,4049.427,4046.946,4045.462,4045.151,4046.121,4048.438,Persons
 30-34,3787.597,3818.183,3839.456,3873.273,3898.653,3883.307,3873.735,3836.895,3787.857,3752.298,3720.287,3683.891,3645.079,3589.685,3520.139,3478.72,3460.757,3474.805,3532.694,3621.687,3723.166,3802.042,3881.475,3946.265,4013.108,4036.971,4051.797,4051.663,4041.753,3998.463,3955.063,3902.412,3854.332,3797.668,3752.661,3724.03,3716.748,3706.743,3699.989,3697.121,3696.52,3696.8,3698.823,3703.269,3710.895,3722.319,3737.358,3755.799,3777.792,3803.197,3831.577,3862.298,3894.008,3925.014,3953.778,3978.919,3998.948,4013.738,4023.199,4027.345,4026.37,4021.224,4012.463,4000.901,3987.44,3973.076,3958.721,3945.222,3933.323,3923.548,3916.315,3911.863,3910.302,3911.604,3915.657,3922.248,3931.179,3942.168,3954.826,3968.829,3983.833,3999.48,4015.397,4031.202,4046.496,4060.906,4074.107,4085.792,4095.722,4103.739,4109.776,4113.832,4115.982,4116.4,4115.33,4113.046,4109.877,4106.173,4102.31,4098.619,4095.406,Persons
 35-39,3717.483,3741.83,3753.972,3766.573,3776.731,3805.288,3831.71,3848.796,3879.766,3902.881,3886.089,3875.889,3839.344,3790.695,3755.5,3723.804,3687.717,3649.203,3594.165,3525.028,3483.939,3466.231,3480.408,3538.259,3627.083,3728.328,3807.004,3886.259,3950.926,4017.662,4041.547,4056.442,4056.427,4046.68,4003.669,3960.542,3908.176,3860.38,3804.027,3759.294,3730.875,3723.731,3713.859,3707.229,3704.479,3703.993,3704.385,3706.5,3711.038,3718.762,3730.258,3745.365,3763.867,3785.907,3811.347,3839.748,3870.489,3902.213,3933.23,3962.011,3987.17,4007.229,4022.068,4031.593,4035.806,4034.921,4029.871,4021.224,4009.777,3996.433,3982.187,3967.955,3954.582,3942.793,3933.13,3925.997,3921.64,3920.16,3921.541,3925.668,3932.32,3941.306,3952.35,3965.059,3979.108,3994.151,4009.84,4025.796,4041.641,4056.973,4071.419,4084.659,4096.384,4106.361,4114.422,4120.513,4124.625,4126.836,4127.317,4126.311,4124.087,Persons
 40-44,3390.584,3417.24,3484.755,3563.04,3647.626,3722.142,3743.562,3752.805,3763.571,3772.337,3799.858,3825.745,3842.883,3873.837,3896.925,3880.355,3870.379,3834.21,3786.054,3751.294,3719.996,3684.316,3646.194,3591.652,3523.083,3482.451,3465.098,3479.448,3537.252,3625.837,3726.759,3805.193,3884.229,3948.758,4015.362,4039.317,4054.326,4054.49,4044.981,4002.368,3959.615,3907.64,3860.244,3804.328,3759.975,3731.852,3724.9,3715.225,3708.784,3706.2,3705.872,3706.41,3708.675,3713.347,3721.193,3732.801,3748.014,3766.594,3788.698,3814.193,3842.64,3873.427,3905.176,3936.221,3965.036,3990.242,4010.36,4025.278,4034.894,4039.228,4038.478,4033.575,4025.081,4013.802,4000.628,3986.557,3972.493,3959.288,3947.666,3938.145,3931.148,3926.92,3925.559,3927.051,3931.278,3938.024,3947.096,3958.221,3971,3985.12,4000.229,4015.976,4031.996,4047.9,4063.291,4077.805,4091.109,4102.902,4112.95,4121.08,4127.253,Persons
 45-49,3799.242,3720.435,3647.374,3542.921,3450.149,3397.994,3422.391,3487.345,3563.608,3646.427,3719.628,3740.644,3750.054,3760.988,3769.929,3797.481,3823.372,3840.624,3871.594,3894.701,3878.467,3868.825,3833.198,3785.72,3751.542,3720.774,3685.659,3648.089,3594.233,3526.441,3486.411,3469.518,3484.089,3541.805,3630.076,3730.608,3808.754,3887.521,3951.892,4018.339,4042.396,4057.575,4057.984,4048.805,4006.727,3964.49,3913.055,3866.186,3810.86,3767.01,3739.284,3732.588,3723.186,3717.002,3714.648,3714.534,3715.274,3717.746,3722.611,3730.632,3742.389,3757.732,3776.422,3798.626,3824.206,3852.718,3883.556,3915.355,3946.448,3975.314,4000.595,4020.816,4035.853,4045.616,4050.113,4049.537,4044.839,4036.563,4025.513,4012.572,3998.733,3984.898,3971.909,3960.495,3951.175,3944.371,3940.323,3939.124,3940.769,3945.134,3952.01,3961.201,3972.43,3985.31,3999.527,4014.73,4030.572,4046.684,4062.675,4078.148,4092.746,Persons
 50-54,3915.451,3909.562,3879.262,3871.312,3840.156,3790.373,3710.937,3637.399,3533.371,3441.21,3389.521,3413.858,3478.618,3554.473,3636.723,3709.423,3730.562,3740.312,3751.562,3760.823,3788.506,3814.49,3831.95,3863.011,3886.214,3870.476,3861.307,3826.413,3779.835,3746.43,3716.366,3681.986,3645.127,3592.153,3525.362,3486.114,3469.824,3484.698,3542.325,3630.204,3730.222,3808.009,3886.431,3950.604,4016.864,4041.073,4056.457,4057.192,4048.446,4007.065,3965.496,3914.776,3868.596,3814.023,3770.832,3743.634,3737.288,3728.244,3722.389,3720.342,3720.508,3721.531,3724.27,3729.379,3737.628,3749.59,3765.103,3783.95,3806.287,3831.981,3860.58,3891.493,3923.357,3954.519,3983.474,4008.862,4029.215,4044.411,4054.356,4059.066,4058.741,4054.313,4046.324,4035.567,4022.927,4009.392,3995.846,3983.145,3972.015,3962.963,3956.414,3952.594,3951.609,3953.455,3958.002,3965.048,3974.392,3985.77,3998.783,4013.132,4028.455,Persons
 55-59,3573.329,3674.32,3766.982,3827.564,3863.346,3872.104,3865.45,3835.19,3827.301,3796.773,3748.077,3670.492,3598.924,3497.466,3407.679,3357.687,3382.516,3447.108,3522.489,3604.003,3676.046,3697.404,3707.671,3719.408,3729.142,3757.048,3783.184,3800.966,3832.181,3855.534,3840.492,3831.948,3798.046,3752.699,3720.356,3691.239,3657.875,3621.986,3570.209,3504.792,3466.612,3451.157,3466.447,3523.972,3611.315,3710.645,3787.958,3865.916,3929.822,3995.834,4020.251,4035.91,4037.08,4028.917,3988.485,3947.827,3898.052,3852.814,3799.294,3757.017,3730.532,3724.655,3716.109,3710.724,3709.094,3709.655,3711.056,3714.159,3719.607,3728.165,3740.402,3756.172,3775.233,3797.755,3823.604,3852.338,3883.359,3915.323,3946.592,3975.657,4001.188,4021.722,4037.132,4047.342,4052.361,4052.372,4048.314,4040.713,4030.354,4018.122,4004.999,3991.875,3979.577,3968.829,3960.141,3953.933,3950.433,3949.746,3951.868,3956.674,3963.955,Persons
 60-64,3044.374,3116.461,3205.164,3302.144,3403.034,3497.015,3594.639,3684.679,3743.819,3779.116,3788.325,3782.869,3754.604,3748.246,3719.71,3673.306,3598.685,3529.904,3432.121,3345.706,3298.115,3323.617,3387.937,3462.583,3543.007,3614.092,3635.776,3646.813,3659.265,3669.683,3697.926,3724.303,3742.597,3774.067,3797.658,3783.654,3776.048,3743.613,3700.083,3669.276,3641.538,3609.64,3575.163,3525.119,3461.684,3425.036,3410.78,3426.691,3484.056,3570.619,3668.969,3745.607,3822.899,3886.445,3952.111,3976.836,3992.889,3994.692,3987.384,3948.356,3909.019,3860.63,3816.751,3764.756,3723.809,3698.391,3693.21,3685.403,3680.701,3679.689,3680.821,3682.791,3686.434,3692.39,3701.41,3714.058,3730.187,3749.571,3772.37,3798.459,3827.394,3858.587,3890.701,3922.124,3951.371,3977.126,3997.933,4013.681,4024.277,4029.74,4030.25,4026.728,4019.699,4009.938,3998.321,3985.816,3973.296,3961.583,3951.392,3943.245,3937.544,Persons
 65-69,2822.593,2800.495,2792.487,2818.833,2871.651,2933.818,3002.525,3087.826,3181.472,3279.192,3370.591,3465.676,3553.635,3611.971,3647.469,3657.895,3654.352,3628.835,3624.525,3598.742,3555.51,3485.041,3420.111,3327.448,3245.722,3201.433,3227.799,3291.661,3365.255,3444.15,3513.925,3536.109,3548.226,3561.692,3573.094,3601.809,3628.562,3647.587,3679.428,3703.395,3690.905,3684.628,3654.274,3613.297,3584.617,3558.803,3528.98,3496.484,3448.904,3388.272,3353.767,3341.173,3357.909,3415.024,3500.476,3597.431,3673.142,3749.497,3812.548,3877.735,3902.918,3919.539,3922.25,3916.156,3879.097,3841.628,3795.203,3753.243,3703.417,3664.367,3640.465,3636.278,3629.526,3625.801,3625.69,3627.652,3630.425,3634.83,3641.509,3651.186,3664.418,3681.067,3700.918,3724.114,3750.537,3779.749,3811.183,3843.529,3875.19,3904.702,3930.783,3951.994,3968.226,3979.384,3985.49,3986.722,3983.979,3977.776,3968.874,3958.124,3946.486,Persons
 70-74,2724.8,2780.907,2819.575,2832.803,2704.689,2644.721,2624.872,2618.821,2644.893,2695.805,2755.92,2822.306,2904.214,2994.248,3088.305,3176.583,3268.282,3353.164,3410.221,3445.858,3457.861,3456.903,3435.143,3433.616,3411.612,3372.728,3307.99,3248.376,3162.894,3087.73,3048.052,3075.588,3138.782,3210.839,3287.511,3355.354,3378.203,3391.848,3406.72,3419.487,3448.853,3476.129,3496.208,3528.583,3553.08,3542.741,3538.319,3510.897,3473.544,3447.876,3424.768,3397.888,3368.185,3324.066,3267.39,3235.881,3225.633,3243.532,3300.271,3384.092,3479.045,3553.428,3628.42,3690.747,3755.243,3781.072,3798.447,3802.42,3798.035,3763.794,3728.975,3685.34,3646.116,3599.382,3563.047,3541.321,3538.568,3533.344,3531.024,3532.181,3535.324,3539.247,3544.749,3552.464,3563.086,3577.162,3594.553,3615.054,3638.813,3665.713,3695.334,3727.115,3759.78,3791.78,3821.681,3848.227,3870.016,3886.943,3898.923,3905.965,3908.236,Persons
 75-79,1863.126,1941.891,2017.263,2119.239,2323.157,2433.401,2483.435,2518.27,2529.84,2420.057,2370.48,2356.281,2353.938,2380.34,2429.024,2486.485,2549.527,2626.227,2710.706,2799.112,2882.516,2968.936,3048.96,3103.784,3139.298,3153.288,3155.824,3139.301,3141.602,3124.899,3092.16,3035.618,2983.624,2908.592,2842.974,2809.975,2839.119,2901.195,2970.815,3043.951,3108.658,3132.286,3148.061,3164.889,3179.548,3209.766,3237.661,3259.184,3292.233,3317.407,3310.16,3308.364,3285.182,3253.154,3231.913,3212.74,3190.172,3164.533,3125.481,3074.642,3047.564,3040.796,3060.385,3116.507,3197.778,3289.604,3361.867,3434.67,3495.801,3559.153,3585.856,3604.24,3610.013,3608.128,3578.095,3547.209,3507.699,3472.546,3430.479,3398.239,3379.767,3379.115,3376.156,3375.93,3378.966,3383.87,3389.505,3396.645,3405.893,3417.91,3433.218,3451.696,3473.148,3497.716,3525.299,3555.501,3587.777,3620.893,3653.357,3683.808,3711.03,Persons
 80-84,1403.756,1440.617,1459.057,1453.202,1471.37,1518.471,1586.029,1651.173,1735.871,1908.961,2002.958,2046.225,2075.23,2084.214,2000.145,1965.036,1958.483,1961.027,1987.45,2032.442,2085.488,2143.086,2211.567,2287.215,2366.599,2442.069,2519.961,2592.086,2642.878,2677.473,2693.698,2700.703,2691.274,2698.58,2689.091,2664.918,2620.041,2578.882,2518.951,2467.103,2443.601,2474.645,2534.515,2599.941,2667.217,2726.677,2750.969,2769.479,2788.812,2805.872,2836.947,2865.377,2888.685,2922.345,2948.169,2945.273,2947.115,2930.024,2905.795,2891.03,2877.553,2861.26,2841.548,2809.97,2767.823,2747.291,2745.621,2767.548,2822.435,2899.454,2986.131,3054.807,3123.911,3182.894,3244.167,3271.931,3291.594,3299.893,3301.644,3277.946,3252.976,3219.684,3190.684,3155.732,3129.722,3116.161,3118.603,3119.013,3121.901,3127.726,3135.22,3143.38,3152.922,3164.415,3178.469,3195.565,3215.601,3238.406,3264.113,3292.628,3323.601,Persons
 85-89,865.702,879.076,893.076,909.572,930.819,958.379,984.05,999.093,996.363,1012.62,1051.226,1104.424,1153.858,1214.218,1343.341,1413.18,1445.326,1465.305,1470.491,1418.935,1401.478,1403.579,1411.283,1436.264,1474.727,1519.953,1568.251,1623.685,1685.238,1750.15,1812.561,1876.597,1935.858,1979.242,2010.857,2028.657,2040.352,2039.444,2052.238,2051.48,2038.237,2008.902,1982.268,1942.865,1909.625,1898.544,1930.853,1985.858,2043.624,2100.991,2151.594,2175.692,2196.964,2218.739,2238.183,2269.314,2297.448,2322.247,2355.66,2381.504,2384.174,2390.596,2381.764,2368.326,2362.456,2356.744,2349.078,2337.584,2316.567,2286.925,2275.621,2280.911,2305.534,2357.625,2427.212,2505.051,2567.33,2629.899,2684.732,2741.933,2770.553,2791.476,2803.017,2809.767,2795.317,2778.964,2754.86,2734.962,2710.624,2693.843,2687.45,2694.239,2699.438,2706.724,2716.448,2727.538,2739.204,2752.074,2766.661,2783.491,2802.986,Persons
 90-94,382.076,391.092,400.65,410.424,419.048,425.286,431.526,441.373,452.792,466.438,482.745,497.542,506.79,506.06,517.505,542.573,575.386,604.177,636.628,712.044,751.89,769.749,779.76,781.959,761.619,759.372,767.116,777.062,796.726,824.019,855.931,889.319,926.045,967.214,1010.974,1053.644,1097.151,1137.433,1168.428,1192.895,1209.181,1222.799,1228.651,1244.07,1250.3,1247.565,1234.724,1223.588,1206.454,1193.086,1193.997,1223.671,1268.007,1312.131,1353.821,1390.53,1411.587,1433.026,1454.643,1474.111,1502.047,1526.933,1550.607,1580.49,1603.788,1611.43,1621.578,1621.476,1619.894,1623.447,1625.901,1627.492,1625.117,1616.445,1601.937,1601.107,1613.416,1639.089,1684.443,1740.945,1803.627,1854.39,1905.276,1951.684,2000.456,2027.939,2048.562,2062.719,2074.562,2071.446,2065.716,2053.261,2044.859,2034.24,2029.199,2031.554,2042.994,2053.529,2065.618,2079.426,2094.199,Persons
 95-99,105.859,110.321,109.929,110.442,111.288,112.198,114.068,117.405,120.862,123.888,126.088,128.582,132.755,137.473,142.781,148.725,153.986,157.451,157.379,162.53,173.034,185.995,196.551,207.589,236.567,251.012,257.111,260.297,261.255,258.088,261.003,266.984,273.214,283.089,295.856,310.728,325.959,342.095,360.508,380.296,399.826,419.637,437.979,452.745,465.284,474.677,483.729,489.539,500.258,506.46,508.15,505.626,504.144,501.491,500.382,505.772,524.748,550.098,573.65,594.531,612.975,625.643,640.311,654.906,668.042,685.827,701.331,717.125,736.284,751.1,758.401,767.14,771.1,775.925,783.289,788.999,794.799,797.522,797.534,794.912,800.223,813.602,833.365,863.389,897.759,935.611,966.33,997.183,1026.903,1058.598,1078.195,1092.946,1104.949,1117.225,1121.982,1124.008,1121.45,1122.517,1123.662,1127.81,1135.622,Persons
 100 & over,11.341,11.196,13.296,14.492,15.003,15.225,15.328,15.389,15.506,15.607,15.72,16.023,16.587,17.158,17.641,17.992,18.461,19.289,20.187,21.138,22.156,23.052,23.698,23.75,24.928,27.113,29.616,31.476,33.319,39.009,41.558,42.539,43.08,43.447,44.008,45.353,47.041,48.63,50.955,53.866,57.294,60.738,64.276,68.47,73.051,77.621,82.239,86.532,90.184,93.539,96.304,99.239,101.433,104.965,107.24,108.326,108.608,109.284,110.205,111.303,113.912,119.935,127.319,133.642,138.919,143.85,148.148,153.616,158.816,163.406,169.447,174.555,180.181,186.82,191.862,195.102,198.86,201.531,205.158,209.289,212.36,215.797,217.918,219.685,220.938,224.794,231.461,239.427,250.293,261.683,274.525,285.121,296.018,307.472,319.824,328.203,334.452,340.538,347.649,352.726,355.842,Persons
